Isotope      A            Z            YIELD 
Re89         189          75           0.00000E+00  
Os86         186          76           6.23060E-11  
Os87         187          76           7.06540E-11  
Os88         188          76           6.99180E-11  
Os89         189          76           1.59650E-11  
Os90         190          76           8.93650E-11  
Os91         191          76           0.00000E+00  
Os92         192          76           -3.56510E-13 
Os93         193          76           0.00000E+00  
Os94         194          76           0.00000E+00  
Ir91         191          77           1.23580E-11  
Ir92         192          77           0.00000E+00  
Ir93         193          77           1.16000E-11  
Ir94         194          77           0.00000E+00  
Ir95         195          77           0.00000E+00  
Pt92         192          78           4.71590E-11  
Pt93         193          78           0.00000E+00  
Pt94         194          78           1.09480E-10  
Pt95         195          78           3.19640E-11  
Pt96         196          78           1.72340E-10  
Pt97         197          78           0.00000E+00  
Pt98         198          78           -7.18300E-13 
Au97         197          79           4.02390E-11  
Au98         198          79           0.00000E+00  
Au99         199          79           0.00000E+00  
Hg98         198          80           1.40200E-10  
Hg99         199          80           5.81500E-11  
Hg00         200          80           2.02790E-10  
Hg01         201          80           8.02650E-11  
Hg02         202          80           3.36000E-10  
Hg03         203          80           0.00000E+00  
Hg04         204          80           2.23610E-13  
Tl03         203          81           1.38280E-10  
Tl04         204          81           0.00000E+00  
Tl05         205          81           3.50910E-10  
Pb04         204          82           2.41590E-10  
Pb05         205          82           2.15680E-11  
Pb06         206          82           1.05640E-09  
Pb07         207          82           1.17980E-09  
Pb08         208          82           1.64050E-09  
Pb09         209          82           0.00000E+00  
Pb10         210          82           0.00000E+00  
Bi09         209          83           8.17400E-12  
Bi10         210          83           0.00000E+00  
Po10         210          84           0.00000E+00  
