 ele  Z   A   PFAv000     PFAv150     PFAv300     PFBv000     PFBv150     PFBv300     PFCv000     PFCv150     PFCv300     PFDv000     PFDv150     PFDv300      YAv000      YAv150      YAv300      YBv000      YBv150      YBv300      YCv000      YCv150      YCv300      YDv000      YDv150      YDv300     PFAvavg     PFBvavg     PFCvavg     PFDvavg      YAvavg      YBvavg      YCvavg      YDvavg       iniA        iniB        iniC        iniD 
Cl35   17   35  4.1803E+00  5.5113E+00  6.3130E+00  1.7823E+01  2.7919E+01  6.6248E+01  5.6534E+01  2.2262E+02  5.5349E+02  5.1527E+02  1.4704E+03  3.2576E+03  2.4351E-05  3.1848E-05  3.6135E-05  1.0258E-05  1.5673E-05  3.7064E-05  3.2710E-06  1.1767E-05  3.0533E-05  2.9733E-06  8.1836E-06  1.8272E-05  4.1804E+00  1.7823E+01  5.6542E+01  5.1532E+02  2.4351E-05  1.0258E-05  3.2715E-06  2.9736E-06  6.1745E-06  6.1737E-07  6.1737E-08  6.1737E-09
Cl37   17   37  3.8369E+00  5.2256E+00  5.8201E+00  1.3989E+01  2.5056E+01  5.5938E+01  5.6801E+01  2.6643E+02  4.2508E+02  7.5846E+02  1.6785E+03  1.7002E+03  7.5515E-06  1.0203E-05  1.1256E-05  2.7202E-06  4.7525E-06  1.0574E-05  1.1104E-06  4.7581E-06  7.9228E-06  1.4787E-06  3.1562E-06  3.2222E-06  3.8369E+00  1.3989E+01  5.6812E+01  7.5850E+02  7.5516E-06  2.7203E-06  1.1106E-06  1.4788E-06  2.0862E-06  2.0859E-07  2.0859E-08  2.0859E-09
Ar36   18   36  1.5321E+01  2.2666E+01  2.3743E+01  9.3864E+01  1.7421E+02  2.1822E+02  8.0370E+02  2.0525E+03  2.4435E+03  9.7872E+03  1.8228E+04  1.4573E+04  8.1400E-04  1.1946E-03  1.2395E-03  1.1031E-03  1.9970E-03  2.4929E-03  9.4952E-04  2.2153E-03  2.7523E-03  1.1532E-03  2.0714E-03  1.6690E-03  1.5322E+01  9.3868E+01  8.0376E+02  9.7877E+03  8.1402E-04  1.1031E-03  9.4959E-04  1.1532E-03  5.6315E-05  1.2606E-05  1.2606E-06  1.2606E-07
Ar38   18   38  1.0942E+01  1.7288E+01  2.0327E+01  2.2796E+01  3.5920E+01  2.4656E+02  6.7720E+01  2.3046E+02  1.6483E+03  7.3403E+02  2.1405E+03  5.8033E+03  1.1157E-04  1.7487E-04  2.0366E-04  5.1414E-05  7.9020E-05  5.4056E-04  1.5355E-05  4.7737E-05  3.5631E-04  1.6598E-05  4.6683E-05  1.2756E-04  1.0942E+01  2.2797E+01  6.7728E+01  7.3410E+02  1.1157E-04  5.1415E-05  1.5356E-05  1.6600E-05  1.0808E-05  2.4193E-06  2.4193E-07  2.4193E-08
Ar40   18   40  7.7160E+00  1.0004E+01  1.3893E+01  6.8740E+00  1.3969E+01  1.6106E+01  3.5883E+00  1.6350E+01  2.3189E+01  2.5915E+00  1.6043E+01  1.8464E+03  1.3245E-07  1.7037E-07  2.3434E-07  2.6101E-08  5.1737E-08  5.9446E-08  1.3697E-09  5.7015E-09  8.4394E-09  9.8657E-11  5.8905E-10  6.8328E-08  7.7161E+00  6.8744E+00  3.5889E+00  2.5922E+00  1.3246E-07  2.6102E-08  1.3700E-09  9.8683E-11  1.8196E-08  4.0730E-09  4.0730E-10  4.0730E-11
K39    19   39  3.4890E+00  5.2323E+00  7.4796E+00  2.0242E+01  4.6820E+01  2.0395E+02  8.8110E+01  7.0580E+02  1.6311E+03  1.2352E+03  3.4997E+03  6.7714E+03  9.4307E-06  1.4030E-05  1.9866E-05  5.4057E-06  1.2196E-05  5.2947E-05  2.3656E-06  1.7311E-05  4.1751E-05  3.3073E-06  9.0377E-06  1.7624E-05  3.4891E+00  2.0243E+01  8.8140E+01  1.2353E+03  9.4309E-06  5.4061E-06  2.3664E-06  3.3076E-06  2.8651E-06  2.8647E-07  2.8647E-08  2.8647E-09
K40    19   40  2.7130E+01  4.1233E+01  7.2102E+01  9.3509E+01  1.6424E+02  3.0503E+02  6.6012E+01  4.1379E+02  1.1729E+03  1.1120E+02  5.9893E+02  4.4641E+04  1.1871E-07  1.7899E-07  3.1003E-07  4.0428E-08  6.9261E-08  1.2820E-07  2.8692E-09  1.6431E-08  4.8602E-08  4.8204E-10  2.5040E-09  1.8810E-07  2.7130E+01  9.3512E+01  6.6029E+01  1.1123E+02  1.1872E-07  4.0429E-08  2.8699E-09  4.8215E-10  4.6383E-09  4.6377E-10  4.6377E-11  4.6377E-12
K41    19   41  5.5273E+00  8.5597E+00  1.3164E+01  2.6682E+01  9.6970E+01  2.6936E+02  1.2856E+02  1.7649E+03  2.0229E+03  2.5734E+03  4.0180E+03  5.7264E+03  1.1335E-06  1.7414E-06  2.6526E-06  5.4060E-07  1.9164E-06  5.3053E-06  2.6186E-07  3.2843E-06  3.9284E-06  5.2276E-07  7.8722E-07  1.1308E-06  5.5274E+00  2.6685E+01  1.2864E+02  2.5734E+03  1.1335E-06  5.4067E-07  2.6202E-07  5.2277E-07  2.1737E-07  2.1734E-08  2.1734E-09  2.1734E-10
Ca40   20   40  1.2413E+01  1.8408E+01  1.9529E+01  8.2053E+01  1.6567E+02  2.0409E+02  7.5399E+02  2.0124E+03  2.3085E+03  9.3402E+03  1.6798E+04  1.2932E+04  7.3136E-04  1.0759E-03  1.1306E-03  1.0693E-03  2.1058E-03  2.5854E-03  9.8782E-04  2.4085E-03  2.8835E-03  1.2204E-03  2.1168E-03  1.6425E-03  1.2414E+01  8.2058E+01  7.5405E+02  9.3406E+03  7.3138E-04  1.0693E-03  9.8789E-04  1.2204E-03  6.2452E-05  1.3979E-05  1.3979E-06  1.3979E-07
Ca42   20   42  1.1091E+01  1.7676E+01  2.1443E+01  1.9969E+01  3.6492E+01  2.7291E+02  5.1380E+01  2.7626E+02  1.7300E+03  6.6618E+02  1.9780E+03  5.2486E+03  4.5794E-06  7.2399E-06  8.6996E-06  1.8237E-06  3.2508E-06  2.4228E-05  4.7175E-07  2.3172E-06  1.5144E-05  6.1000E-07  1.7468E-06  4.6716E-06  1.1092E+01  1.9970E+01  5.1391E+01  6.6625E+02  4.5796E-06  1.8238E-06  4.7184E-07  6.1006E-07  4.3765E-07  9.7966E-08  9.7966E-09  9.7966E-10
