 ele  Z   A   PFAv000     PFAv150     PFAv300     PFBv000     PFBv150     PFBv300     PFCv000     PFCv150     PFCv300     PFDv000     PFDv150     PFDv300      YAv000      YAv150      YAv300      YBv000      YBv150      YBv300      YCv000      YCv150      YCv300      YDv000      YDv150      YDv300     PFAvavg     PFBvavg     PFCvavg     PFDvavg      YAvavg      YBvavg      YCvavg      YDvavg       iniA        iniB        iniC        iniD 
  Ga   31    0  6.2435E+01  1.0394E+02  1.0548E+02  1.3701E+02  2.4732E+02  2.3639E+02  1.5129E+01  1.9750E+02  1.9743E+02  1.6650E+00  2.3699E+02  1.3642E+02  3.3189E-06  5.4812E-06  5.5091E-06  7.1955E-07  1.2669E-06  1.2068E-06  7.9878E-09  9.5256E-08  9.9380E-08  8.7669E-11  1.2035E-08  6.9821E-09  6.2437E+01  1.3701E+02  1.5138E+01  1.6770E+00  3.3190E-06  7.1957E-07  7.9925E-09  8.8304E-11  5.6340E-08  5.6333E-09  5.6333E-10  5.6333E-11
  Ge   32    0  3.9302E+01  6.7340E+01  6.6756E+01  1.0648E+02  2.0289E+02  2.0923E+02  9.3703E+00  1.6497E+02  1.9539E+02  1.3700E+00  2.1164E+02  1.3909E+02  8.8636E-06  1.5066E-05  1.4792E-05  2.3726E-06  4.4094E-06  4.5317E-06  2.0990E-08  3.3758E-07  4.1727E-07  3.0605E-10  4.5598E-08  3.0203E-08  3.9303E+01  1.0649E+02  9.3779E+00  1.3808E+00  8.8640E-06  2.3727E-06  2.1007E-08  3.0846E-10  2.3903E-07  2.3900E-08  2.3900E-09  2.3900E-10
  As   33    0  7.1807E+01  1.1645E+02  1.1473E+02  1.9141E+02  3.9138E+02  3.9944E+02  8.4945E+00  2.4693E+02  3.3885E+02  1.2780E+00  2.9859E+02  2.3065E+02  7.4634E-07  1.2007E-06  1.1717E-06  1.9656E-07  3.9201E-07  3.9873E-07  8.7696E-10  2.3288E-08  3.3352E-08  1.3158E-11  2.9649E-09  2.3083E-09  7.1809E+01  1.9142E+02  8.5061E+00  1.2932E+00  7.4636E-07  1.9657E-07  8.7815E-10  1.3315E-11  1.1016E-08  1.1015E-09  1.1015E-10  1.1015E-11
  Se   34    0  2.9919E+01  5.4484E+01  5.7954E+01  8.9310E+01  2.0379E+02  2.4385E+02  3.9823E+00  1.4658E+02  2.4011E+02  1.1290E+00  1.9253E+02  1.8299E+02  3.5935E-06  6.4920E-06  6.8392E-06  1.0598E-06  2.3588E-06  2.8130E-06  4.7510E-09  1.5975E-07  2.7310E-07  1.3432E-10  2.2092E-08  2.1162E-08  2.9920E+01  8.9316E+01  3.9892E+00  1.1388E+00  3.5937E-06  1.0599E-06  4.7592E-09  1.3549E-10  1.2730E-07  1.2729E-08  1.2729E-09  1.2729E-10
  Br   35    0  2.5043E+01  4.4583E+01  4.9126E+01  8.0566E+01  1.9596E+02  2.3555E+02  2.9300E+00  1.3944E+02  2.4646E+02  1.0679E+00  1.7941E+02  1.8208E+02  4.8241E-07  8.5202E-07  9.2982E-07  1.5333E-07  3.6377E-07  4.3577E-07  5.6061E-10  2.4371E-08  4.4957E-08  2.0376E-11  3.3017E-09  3.3771E-09  2.5044E+01  8.0572E+01  2.9367E+00  1.0770E+00  4.8243E-07  1.5334E-07  5.6188E-10  2.0550E-11  2.0417E-08  2.0414E-09  2.0414E-10  2.0414E-11
  Kr   36    0  1.6260E+01  3.4651E+01  3.9359E+01  9.0272E+01  2.0923E+02  2.9555E+02  2.8009E+00  1.5653E+02  4.2651E+02  1.1639E+00  2.6403E+02  3.4720E+02  1.6846E-06  3.5616E-06  4.0067E-06  9.2407E-07  2.0891E-06  2.9408E-06  2.8824E-09  1.4715E-07  4.1846E-07  1.1945E-10  2.6133E-08  3.4637E-08  1.6261E+01  9.0279E+01  2.8083E+00  1.1774E+00  1.6847E-06  9.2414E-07  2.8901E-09  1.2083E-10  1.0981E-07  1.0980E-08  1.0980E-09  1.0980E-10
  Rb   37    0  2.5080E+01  5.1892E+01  5.9265E+01  1.1327E+02  3.2177E+02  4.5568E+02  2.2970E+00  2.0977E+02  6.0027E+02  1.1625E+00  2.7113E+02  4.7251E+02  4.9369E-07  1.0134E-06  1.1462E-06  2.2029E-07  6.1035E-07  8.6142E-07  4.4909E-10  3.7465E-08  1.1189E-07  2.2666E-11  5.0984E-09  8.9553E-09  2.5082E+01  1.1328E+02  2.3071E+00  1.1763E+00  4.9372E-07  2.2031E-07  4.5106E-10  2.2936E-11  2.0863E-08  2.0860E-09  2.0860E-10  2.0860E-11
  Sr   38    0  1.6566E+01  3.8210E+01  4.8510E+01  2.3462E+02  4.8512E+02  1.1621E+03  3.8485E+00  3.5693E+02  3.1101E+03  1.4707E+00  8.1024E+02  3.6937E+03  7.4818E-07  1.7120E-06  2.1526E-06  1.0469E-06  2.1113E-06  5.0405E-06  1.7264E-09  1.4626E-07  1.3301E-06  6.5794E-11  3.4958E-08  1.6062E-07  1.6568E+01  2.3464E+02  3.8657E+00  1.5122E+00  7.4824E-07  1.0469E-06  1.7341E-09  6.7650E-11  4.7867E-08  4.7861E-09  4.7861E-10  4.7861E-11
  Y    39    0  9.2418E+00  2.1522E+01  3.1992E+01  1.3019E+02  3.1262E+02  1.1142E+03  2.7807E+00  2.6902E+02  3.6585E+03  1.2322E+00  5.8575E+02  5.0600E+03  9.2656E-08  2.1406E-07  3.1514E-07  1.2896E-07  3.0204E-07  1.0728E-06  2.7691E-10  2.4473E-08  3.4734E-07  1.2238E-11  5.6104E-09  4.8847E-08  9.2425E+00  1.3020E+02  2.7936E+00  1.2622E+00  9.2662E-08  1.2896E-07  2.7820E-10  1.2535E-11  1.0626E-08  1.0625E-09  1.0625E-10  1.0625E-11
  Zr   40    0  4.4702E+00  9.7815E+00  1.7568E+01  4.8445E+01  1.3596E+02  1.5735E+03  1.7134E+00  1.4220E+02  4.5572E+03  1.0747E+00  2.7612E+02  6.8620E+03  1.0780E-07  2.3401E-07  4.1626E-07  1.1542E-07  3.1594E-07  3.6442E-06  4.1038E-10  3.1112E-08  1.0406E-06  2.5671E-11  6.3609E-09  1.5932E-07  4.4705E+00  4.8450E+01  1.7202E+00  1.0888E+00  1.0781E-07  1.1543E-07  4.1202E-10  2.6008E-11  2.5559E-08  2.5555E-09  2.5555E-10  2.5555E-11
