Isotope,A,Z,YIELD,MASS,METALLICITY,IRV
Mo92,92.0,42.0,1.3987e-09,2.0,0.014,60.0
Mo93,93.0,42.0,0.0,2.0,0.014,60.0
Mo94,94.0,42.0,1.035e-09,2.0,0.014,60.0
Mo95,95.0,42.0,3.3136e-09,2.0,0.014,60.0
Mo96,96.0,42.0,5.3308e-09,2.0,0.014,60.0
Mo97,97.0,42.0,2.2159e-09,2.0,0.014,60.0
Mo98,98.0,42.0,6.875e-09,2.0,0.014,60.0
Mo99,99.0,42.0,0.0,2.0,0.014,60.0
Mo00,10.0,42.0,1.0196e-09,2.0,0.014,60.0
Tc97,97.0,43.0,5.3241e-13,2.0,0.014,60.0
Tc98,98.0,43.0,1.0104e-13,2.0,0.014,60.0
Tc99,99.0,43.0,2.8581e-10,2.0,0.014,60.0
Ru96,96.0,44.0,3.5029e-10,2.0,0.014,60.0
Ru97,97.0,44.0,0.0,2.0,0.014,60.0
Ru98,98.0,44.0,1.2147e-10,2.0,0.014,60.0
Ru99,99.0,44.0,1.1531e-09,2.0,0.014,60.0
Ru00,10.0,44.0,3.0133e-09,2.0,0.014,60.0
Ru01,10.0,44.0,1.6042e-09,2.0,0.014,60.0
Ru02,10.0,44.0,4.4769e-09,2.0,0.014,60.0
Ru03,10.0,44.0,0.0,2.0,0.014,60.0
Ru04,10.0,44.0,1.3201e-09,2.0,0.014,60.0
Ru05,10.0,44.0,0.0,2.0,0.014,60.0
Ru06,10.0,44.0,0.0,2.0,0.014,60.0
Rh03,10.0,45.0,1.8425e-09,2.0,0.014,60.0
Rh05,10.0,45.0,0.0,2.0,0.014,60.0
Pd04,10.0,46.0,2.1934e-09,2.0,0.014,60.0
Pd05,10.0,46.0,1.6447e-09,2.0,0.014,60.0
Pd06,10.0,46.0,3.37e-09,2.0,0.014,60.0
Pd07,10.0,46.0,3.5251e-10,2.0,0.014,60.0
Pd08,10.0,46.0,3.7398e-09,2.0,0.014,60.0
Pd09,10.0,46.0,0.0,2.0,0.014,60.0
Pd10,11.0,46.0,6.9522e-10,2.0,0.014,60.0
Ag07,10.0,47.0,9.8951e-10,2.0,0.014,60.0
Ag09,10.0,47.0,1.4987e-09,2.0,0.014,60.0
Ag11,11.0,47.0,0.0,2.0,0.014,60.0
Cd08,10.0,48.0,6.6769e-11,2.0,0.014,60.0
Cd09,10.0,48.0,0.0,2.0,0.014,60.0
Cd10,11.0,48.0,2.6428e-09,2.0,0.014,60.0
Cd11,11.0,48.0,1.4326e-09,2.0,0.014,60.0
Cd12,11.0,48.0,3.7834e-09,2.0,0.014,60.0
Cd13,11.0,48.0,1.44e-09,2.0,0.014,60.0
Cd14,11.0,48.0,4.984e-09,2.0,0.014,60.0
Cd15,11.0,48.0,0.0,2.0,0.014,60.0
Cd16,11.0,48.0,5.4518e-10,2.0,0.014,60.0
In13,11.0,49.0,3.1775e-11,2.0,0.014,60.0
In15,11.0,49.0,1.3334e-09,2.0,0.014,60.0
Sn14,11.0,50.0,1.015e-10,2.0,0.014,60.0
Sn15,11.0,50.0,5.2702e-11,2.0,0.014,60.0
Sn16,11.0,50.0,6.3419e-09,2.0,0.014,60.0
Sn17,11.0,50.0,2.4258e-09,2.0,0.014,60.0
