  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
  Ce   58    0  1.3619E+00  2.3058E+00  2.1230E+00  1.3896E+00  1.5664E+00  1.6554E+00  1.5226E+00  1.4054E+00  1.3084E+00
  Pr   59    0  1.4127E+00  3.0298E+00  2.5359E+00  1.2819E+00  1.3946E+00  1.6049E+00  1.8892E+00  1.6989E+00  1.4604E+00
  Nd   60    0  1.1731E+00  1.5280E+00  1.6707E+00  1.4582E+00  1.4987E+00  1.4512E+00  1.3256E+00  1.2555E+00  1.2138E+00
  Hg   80    0  1.1389E+00  1.4425E+00  1.6700E+00  1.1792E+00  1.2912E+00  1.2862E+00  1.2319E+00  1.1867E+00  1.1546E+00
  Tl   81    0  1.1144E+00  1.2911E+00  1.3093E+00  1.1179E+00  1.2455E+00  1.2955E+00  1.2643E+00  1.1987E+00  1.1402E+00
  Pb   82    0  1.2298E+00  1.3528E+00  1.4361E+00  1.2893E+00  1.4285E+00  1.4431E+00  1.3701E+00  1.2814E+00  1.2037E+00
  Bi   83    0  9.3545E-01  9.1636E-01  9.0614E-01  9.3025E-01  9.4781E-01  9.5732E-01  9.7527E-01  9.7665E-01  9.8606E-01
  ele   Z    A    013b000     015b000     020b000     025b000     030b000     040b000     060b000     080b000     120b000
  H     1    0  7.2670E-01  7.0441E-01  6.3849E-01  6.1154E-01  5.6532E-01  5.0490E-01  4.5869E-01  4.2966E-01  3.7397E-01
  He    2    0  1.5988E+00  1.4403E+00  1.5202E+00  1.3955E+00  1.6060E+00  1.5646E+00  1.5161E+00  1.3820E+00  1.3332E+00
  Li    3    0  2.8386E-03  4.9444E-03  1.1115E-02  1.1417E-02  1.2081E-02  1.1565E-02  1.3949E-02  1.1841E-02  1.1073E-02
  Be    4    0  8.8407E-03  8.4805E-03  1.3726E-02  1.7331E-02  1.6475E-02  1.5286E-02  1.2853E-02  1.2468E-02  1.1732E-02
  B     5    0  1.5383E-01  1.4892E-01  1.3417E-01  1.3138E-01  1.2778E-01  1.2001E-01  1.0820E-01  1.0370E-01  9.4553E-02
