11498298 1.570 0.130 11.270 0.311 2.540 0.013  2.008 0.515  67.561  6.361 1117.50  39.36 0.50326874
11704163 1.371 0.083 10.042 0.227 2.567 0.007  3.482 0.985  44.300  3.681 1274.09  39.75 0.22077997
11341723 1.000 0.127 10.779 0.568 2.371 0.016  9.754 4.605  59.307  7.639 1134.89  59.96 0.14727350
11234897 2.727 0.269 12.406 0.480 2.686 0.009  0.548 0.214  90.084  7.149  716.02  21.66 0.60703928
11287936 1.207 0.069  8.960 0.207 2.614 0.007  5.595 1.950  34.943  3.509  776.75  27.84 0.26950048
11446691 0.979 0.126 10.843 0.526 2.354 0.018 12.106 5.139  54.151  6.895 1804.69 101.50 0.00154825
11653073 1.356 0.055 11.077 0.199 2.480 0.008  3.890 0.836  59.401  2.678 1499.33  29.12 0.15837337
11600024 1.318 0.088 11.117 0.312 2.469 0.014  4.110 1.313  61.401  5.035  540.86  16.94 0.42573991
11702195 1.026 0.077  8.172 0.212 2.622 0.009 10.006 3.096  28.824  3.369  721.23  34.38 0.20348783
11600208 0.901 0.119  9.993 0.550 2.388 0.013 12.603 5.172  56.350  5.983 1485.41  71.71 0.08281976
11548940 1.157 0.178 12.900 0.690 2.280 0.021  6.880 4.679  77.064 10.691 1884.63  99.54 0.00232646
11496569 1.594 0.080  9.007 0.180 2.732 0.005  2.085 0.443  38.230  3.498  495.23  16.94 0.50690626
11444844 1.074 0.093 10.586 0.282 2.419 0.017  7.586 3.169  58.548  3.503 2009.81  47.99 0.00138447
11444313 1.253 0.090 11.345 0.442 2.431 0.009  4.919 1.682  60.075  6.064 1441.94  53.55 0.12846875
11495120 2.171 0.201 10.558 0.414 2.726 0.014  0.854 0.365  63.288  8.099  673.07  31.01 0.90062504
11599342 1.336 0.073  5.865 0.114 3.025 0.007  3.796 0.910  17.915  1.629  507.94  16.74 0.42894427
11546913 1.501 0.054  5.314 0.074 3.164 0.005  2.303 0.428  16.392  1.325  728.98  22.14 0.56557782
11338267 1.249 0.251 12.965 1.170 2.314 0.019  6.187 5.061  78.699 16.523 2157.67 165.49 0.00097983
11649294 1.165 0.058 10.875 0.231 2.432 0.008  6.680 1.837  55.205  3.592  760.65  19.40 0.22822448
11598312 1.956 0.168 11.455 0.374 2.604 0.014  1.305 0.283  71.091  7.127  875.61  32.34 0.72564203
11494312 1.412 0.076 11.176 0.247 2.491 0.008  3.600 0.820  57.395  4.341 1369.73  38.47 0.19591138
