 ele  Z   A   PFAv000     PFAv150     PFAv300     PFBv000     PFBv150     PFBv300     PFCv000     PFCv150     PFCv300     PFDv000     PFDv150     PFDv300      YAv000      YAv150      YAv300      YBv000      YBv150      YBv300      YCv000      YCv150      YCv300      YDv000      YDv150      YDv300     PFAvavg     PFBvavg     PFCvavg     PFDvavg      YAvavg      YBvavg      YCvavg      YDvavg       iniA        iniB        iniC        iniD 
  Br   35    0  2.8435E+00  1.1111E+01  2.2631E+01  5.3891E+00  7.3065E+01  9.1239E+01  1.0196E+00  7.8990E+01  7.4659E+01  9.8868E-01  2.0103E+01  7.7626E+01  4.6212E-08  1.7394E-07  3.6425E-07  6.3067E-09  9.5504E-08  1.2719E-07  8.2752E-11  9.2872E-09  9.2178E-09  7.6587E-12  2.2167E-10  9.2210E-10  2.8440E+00  5.3931E+00  1.0256E+00  9.9013E-01  4.6219E-08  6.3114E-09  8.3242E-11  7.6701E-12  2.0417E-08  2.0414E-09  2.0414E-10  2.0414E-11
  Kr   36    0  1.8495E+00  9.6981E+00  2.4052E+01  3.0812E+00  6.1383E+01  1.2731E+02  1.0748E+00  8.2079E+01  1.2176E+02  1.0207E+00  2.8042E+01  1.0705E+02  1.6166E-07  8.1653E-07  2.0821E-06  1.9394E-08  4.3156E-07  9.5457E-07  4.6917E-10  5.1906E-08  8.0856E-08  4.2529E-11  1.6631E-09  6.8398E-09  1.8499E+00  3.0846E+00  1.0810E+00  1.0228E+00  1.6169E-07  1.9416E-08  4.7191E-10  4.2616E-11  1.0981E-07  1.0980E-08  1.0980E-09  1.0980E-10
  Rb   37    0  2.1307E+00  1.3098E+01  3.5816E+01  3.6644E+00  8.6649E+01  1.8054E+02  1.0517E+00  1.2095E+02  1.9665E+02  1.0028E+00  4.5258E+01  1.4112E+02  3.5383E-08  2.0951E-07  5.8907E-07  4.3820E-09  1.1573E-07  2.5717E-07  8.7217E-11  1.4531E-08  2.4811E-08  7.9379E-12  5.0994E-10  1.7130E-09  2.1312E+00  3.6693E+00  1.0609E+00  1.0062E+00  3.5392E-08  4.3880E-09  8.7985E-11  7.9646E-12  2.0863E-08  2.0860E-09  2.0860E-10  2.0860E-11
  Sr   38    0  1.7158E+00  1.1695E+01  3.6265E+01  3.4205E+00  1.3431E+02  8.0783E+02  1.3455E+00  2.8790E+02  1.1501E+03  1.1239E+00  3.0931E+01  7.3000E+02  6.5375E-08  4.2923E-07  1.3685E-06  9.3849E-09  4.1160E-07  2.6402E-06  2.5602E-10  7.9362E-08  3.3292E-07  2.0412E-11  7.9962E-10  2.0330E-08  1.7163E+00  3.4283E+00  1.3676E+00  1.1262E+00  6.5395E-08  9.4063E-09  2.6023E-10  2.0454E-11  4.7867E-08  4.7861E-09  4.7861E-10  4.7861E-11
  Y    39    0  1.4420E+00  7.3059E+00  2.5709E+01  2.5126E+00  8.5412E+01  9.2812E+02  1.1609E+00  2.5609E+02  1.4439E+03  1.0357E+00  2.5420E+01  9.1466E+02  1.2197E-08  5.9523E-08  2.1536E-07  1.5304E-09  5.8108E-08  6.7338E-07  4.9040E-11  1.5671E-08  9.2785E-08  4.1758E-12  1.4589E-10  5.6550E-09  1.4423E+00  2.5175E+00  1.1806E+00  1.0376E+00  1.2199E-08  1.5334E-09  4.9871E-11  4.1833E-12  1.0626E-08  1.0625E-09  1.0625E-10  1.0625E-11
  Zr   40    0  1.1885E+00  3.9486E+00  1.5600E+01  1.5914E+00  3.5116E+01  1.7992E+03  1.0233E+00  1.5930E+02  2.1223E+03  9.9926E-01  1.6850E+01  1.6627E+03  2.4180E-08  7.7380E-08  3.1433E-07  2.3314E-09  5.7460E-08  3.1397E-06  1.0397E-10  2.3446E-08  3.2803E-07  9.6900E-12  2.3259E-10  2.4725E-08  1.1887E+00  1.5934E+00  1.0355E+00  1.0005E+00  2.4183E-08  2.3343E-09  1.0521E-10  9.7019E-12  2.5559E-08  2.5555E-09  2.5555E-10  2.5555E-11
  Nb   41    0  1.1430E+00  2.2746E+00  7.8611E+00  1.2800E+00  1.8836E+01  7.6276E+02  9.5429E-01  9.8860E+01  1.3270E+03  9.0927E-01  1.1630E+01  8.4057E+02  1.7964E-09  3.4435E-09  1.2237E-08  1.4486E-10  2.3811E-09  1.0283E-07  7.4905E-12  1.1241E-09  1.5845E-08  6.8120E-13  1.2402E-11  9.6568E-10  1.1430E+00  1.2810E+00  9.6184E-01  9.1008E-01  1.7964E-09  1.4498E-10  7.5499E-12  6.8182E-13  1.9745E-09  1.9743E-10  1.9743E-11  1.9743E-12
  Mo   42    0  1.2368E+00  1.7409E+00  4.1602E+00  1.3204E+00  8.4504E+00  1.3045E+03  1.1839E+00  5.6556E+01  2.0378E+03  1.2240E+00  7.3438E+00  2.1817E+03  4.7407E-09  6.4279E-09  1.5793E-08  3.6444E-10  2.6052E-09  4.2889E-07  2.2663E-11  1.5684E-09  5.9342E-08  2.2363E-12  1.9099E-11  6.1125E-09  1.2368E+00  1.3208E+00  1.1882E+00  1.2245E+00  4.7408E-09  3.6456E-10  2.2745E-11  2.2372E-12  4.8155E-09  4.8148E-10  4.8148E-11  4.8148E-12
  Xe   54    0  9.9738E-01  1.1918E+00  2.2127E+00  1.0172E+00  4.0293E+00  5.5941E+02  9.4801E-01  3.1134E+01  1.0518E+03  9.5170E-01  6.3621E+00  7.2011E+02  4.8870E-09  5.6249E-09  1.0738E-08  3.5891E-10  1.5879E-09  2.3511E-07  2.3198E-11  1.1037E-09  3.9154E-08  2.2228E-12  2.1151E-11  2.5791E-09  9.9739E-01  1.0174E+00  9.5034E-01  9.5211E-01  4.8870E-09  3.5898E-10  2.3255E-11  2.2238E-12  6.1557E-09  6.1549E-10  6.1549E-11  6.1549E-12
  Cs   55    0  9.6613E-01  1.0992E+00  2.0344E+00  9.8466E-01  3.2598E+00  4.8323E+02  8.9440E-01  2.3367E+01  8.5447E+02  8.8498E-01  5.3738E+00  6.6632E+02  9.0521E-10  9.9207E-10  1.8878E-09  6.6438E-11  2.4567E-10  3.8838E-08  4.1852E-12  1.5840E-10  6.0826E-09  3.9526E-13  3.4164E-12  4.5636E-10  9.6614E-01  9.8479E-01  8.9613E-01  8.8532E-01  9.0522E-10  6.6448E-11  4.1934E-12  3.9542E-13  1.1771E-09  1.1770E-10  1.1770E-11  1.1770E-12
