  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
Cs33   55  133  9.4529E-01  9.3799E-01  9.1836E-01  1.0015E+00  9.9996E-01  9.9996E-01  9.8518E-01  9.6641E-01  9.5587E-01
Ba34   56  134  1.2562E+00  1.3676E+00  1.6327E+00  1.8081E+00  9.9998E-01  1.0002E+00  1.0914E+00  1.2103E+00  1.2768E+00
Ba35   56  135  9.4341E-01  9.2452E-01  9.1479E-01  9.8710E-01  9.9999E-01  9.9996E-01  9.8648E-01  9.7662E-01  9.7098E-01
Ba36   56  136  1.0753E+00  1.1592E+00  1.3661E+00  1.5911E+00  1.0000E+00  1.0000E+00  1.0230E+00  1.0763E+00  1.1021E+00
Ba37   56  137  9.9273E-01  1.0155E+00  1.0923E+00  1.2828E+00  1.0000E+00  1.0000E+00  9.9861E-01  1.0017E+00  1.0026E+00
Ba38   56  138  1.0132E+00  1.0506E+00  1.1823E+00  1.3884E+00  1.0000E+00  1.0000E+00  1.0010E+00  1.0044E+00  1.0060E+00
La38   57  138  9.8943E-01  9.8489E-01  9.7308E-01  9.2029E-01  9.9995E-01  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00
La39   57  139  1.0096E+00  1.0427E+00  1.1748E+00  1.4288E+00  9.9996E-01  1.0000E+00  1.0004E+00  1.0019E+00  1.0025E+00
Ce40   58  140  9.9152E-01  9.9782E-01  1.0577E+00  1.1897E+00  1.0000E+00  1.0000E+00  1.0003E+00  1.0011E+00  1.0015E+00
Pr41   59  141  9.7981E-01  9.6510E-01  1.0015E+00  1.1895E+00  9.9998E-01  9.9998E-01  9.9400E-01  9.8188E-01  9.7577E-01
Nd42   60  142  1.0588E+00  1.1294E+00  1.2525E+00  1.4636E+00  9.9999E-01  1.0000E+00  1.0061E+00  1.0185E+00  1.0249E+00
Nd43   60  143  9.3438E-01  9.0851E-01  8.7959E-01  9.3420E-01  1.0000E+00  9.9997E-01  9.8555E-01  9.6558E-01  9.5434E-01
Nd44   60  144  9.7887E-01  9.6263E-01  9.6312E-01  1.0026E+00  9.9999E-01  1.0000E+00  1.0020E+00  9.9837E-01  9.9731E-01
Hg02   80  202  9.9489E-01  1.0008E+00  1.0551E+00  1.1483E+00  9.9999E-01  1.0000E+00  1.0072E+00  1.0236E+00  1.0318E+00
Hg04   80  204  9.6489E-01  9.2072E-01  8.7410E-01  8.2980E-01  9.9998E-01  9.9998E-01  9.9506E-01  9.8123E-01  9.7448E-01
Tl03   81  203  9.8355E-01  9.9671E-01  1.0615E+00  1.2636E+00  9.9997E-01  1.0000E+00  9.9806E-01  9.9912E-01  9.9903E-01
Tl05   81  205  9.7501E-01  9.7382E-01  9.9104E-01  1.0237E+00  9.9999E-01  1.0000E+00  9.9785E-01  9.9479E-01  9.9258E-01
Pb04   82  204  1.1027E+00  1.2300E+00  1.4665E+00  1.7666E+00  1.0000E+00  1.0000E+00  1.0235E+00  1.0795E+00  1.1077E+00
Pb06   82  206  1.0039E+00  1.0272E+00  1.1225E+00  1.2197E+00  9.9996E-01  1.0000E+00  1.0021E+00  1.0084E+00  1.0114E+00
Pb07   82  207  9.8915E-01  9.9704E-01  1.0579E+00  1.2461E+00  9.9999E-01  9.9999E-01  1.0004E+00  1.0017E+00  1.0023E+00
Pb08   82  208  9.8705E-01  9.8860E-01  1.0298E+00  1.1197E+00  1.0000E+00  1.0000E+00  1.0004E+00  1.0017E+00  1.0023E+00
Bi09   83  209  9.7191E-01  9.6033E-01  9.6153E-01  9.8249E-01  9.9999E-01  1.0000E+00  9.9970E-01  9.9852E-01  9.9801E-01
  ele   Z    A    013a150     015a150     020a150     025a150     030a150     040a150     060a150     080a150     120a150
H       1    1  6.1009E-01  5.6250E-01  5.0539E-01  4.7427E-01  6.3580E-01  6.0231E-01  5.6843E-01  5.4990E-01  4.7866E-01
H2      1    2  6.4759E-13  4.6778E-11  4.9406E-08  8.3988E-07  4.2321E-07  1.0933E-05  1.6959E-04  2.9235E-04  9.6283E-04
He3     2    3  6.9935E-01  6.1550E-01  5.0955E-01  4.5200E-01  5.8043E-01  4.9552E-01  4.5227E-01  3.7412E-01  3.7261E-01
He4     2    4  1.3794E+00  1.3359E+00  1.4061E+00  1.4089E+00  1.9185E+00  1.9979E+00  2.0563E+00  2.0890E+00  2.3288E+00
Li6     3    6  4.0265E-04  6.3003E-04  1.1492E-03  1.4826E-03  2.3362E-03  2.6340E-03  3.2689E-03  1.5873E-03  1.8308E-03
Li7     3    7  6.5315E-04  1.0773E-03  1.8195E-03  2.4709E-03  3.5394E-03  3.6498E-03  5.4372E-03  2.5087E-03  2.2859E-03
Be9     4    9  1.0609E-03  1.6733E-03  2.8286E-03  4.1075E-03  5.9707E-03  5.2890E-03  5.8459E-03  3.3372E-03  3.1330E-03
B10     5   10  1.6430E-03  2.5206E-03  4.1549E-03  6.0841E-03  9.1601E-03  7.1827E-03  8.4012E-03  4.8015E-03  4.1248E-03
B11     5   11  7.9555E-02  7.4347E-02  6.1331E-02  5.3447E-02  7.1476E-02  6.9694E-02  7.3051E-02  6.0660E-02  6.8817E-02
C12     6   12  1.4560E+01  1.2298E+01  2.7711E+01  2.7633E+01  6.9316E+00  8.1521E+00  1.1712E+01  1.3260E+01  9.2608E+00
C13     6   13  3.1981E+00  2.0919E+00  4.6777E+00  3.9815E+00  4.9656E+00  3.9022E+00  2.1801E+00  1.6029E+00  8.8201E-01
N14     7   14  5.2551E+00  4.6805E+00  5.7307E+00  5.5852E+00  8.2291E+00  8.8386E+00  8.5469E+00  8.7127E+00  8.7884E+00
N15     7   15  1.0508E+00  1.0206E+00  3.1188E-01  1.8759E-01  1.9940E-01  1.9053E-01  1.9229E-01  1.8028E-01  1.9396E-01
O16     8   16  2.1227E+01  2.6524E+01  2.6650E+01  2.8546E+01  9.6675E-01  9.1235E-01  9.7525E-01  1.1015E+00  6.4216E-01
O17     8   17  2.4137E+00  1.6439E+00  1.8302E+00  1.4681E+00  6.5959E-01  5.5357E-01  4.0727E-01  3.3818E-01  2.9314E-01
O18     8   18  7.4169E+00  5.4889E-01  3.2161E-01  2.8010E-01  3.4238E-01  2.6963E-01  2.5054E-01  2.1065E-01  2.6638E-01
F19     9   19  2.6468E+00  1.0160E+02  1.3167E+01  1.4131E+00  4.8800E-01  5.1287E-01  9.4761E-01  4.8584E-01  5.5680E-01
Ne20   10   20  2.7429E+00  4.1412E+00  5.5016E+00  1.4038E+01  9.7602E-01  9.7190E-01  9.6683E-01  9.6366E-01  9.5430E-01
Ne21   10   21  7.3076E+00  1.2993E+01  1.2838E+01  1.1680E+01  2.0880E+00  1.7078E+00  1.2217E+00  9.9203E-01  6.1982E-01
Ne22   10   22  2.2433E+01  2.6544E+01  1.7391E+01  1.8849E+01  5.4552E+00  7.0804E+00  1.2405E+01  1.4753E+01  1.3643E+01
Na23   11   23  4.6496E+00  4.9167E+00  6.1241E+00  1.1155E+01  4.0623E+00  4.5418E+00  4.9636E+00  5.2701E+00  5.6698E+00
Mg24   12   24  2.3036E+00  2.3113E+00  3.8695E+00  8.1018E+00  1.0002E+00  1.0001E+00  9.9989E-01  1.0008E+00  1.0012E+00
