  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
Cu63   29   63  3.0443E+00  4.3922E+00  1.0152E+01  2.6906E+01  9.9999E-01  1.0000E+00  1.0203E+00  1.0927E+00  1.1264E+00
Cu65   29   65  3.3424E+00  5.3143E+00  1.2138E+01  2.5456E+01  1.0000E+00  1.0000E+00  1.0260E+00  1.0985E+00  1.1280E+00
Zn64   30   64  1.8276E+00  1.7268E+00  2.2706E+00  3.0525E+00  9.9998E-01  1.0000E+00  9.9688E-01  9.9442E-01  9.9103E-01
Zn66   30   66  3.8276E+00  4.1836E+00  6.3413E+00  1.3806E+01  9.9999E-01  9.9999E-01  9.9808E-01  9.9642E-01  9.9652E-01
Zn67   30   67  1.7578E+00  2.5360E+00  7.3196E+00  1.8583E+01  9.9999E-01  1.0000E+00  1.0070E+00  1.0203E+00  1.0291E+00
Zn68   30   68  1.8325E+00  2.5110E+00  6.4313E+00  1.6951E+01  9.9999E-01  9.9999E-01  1.0025E+00  1.0113E+00  1.0158E+00
Zn70   30   70  1.6279E+00  2.2886E+00  3.2945E+00  1.2622E+01  9.9998E-01  9.9998E-01  9.9730E-01  9.8911E-01  9.8515E-01
Ga69   31   69  2.6593E+00  4.1227E+00  1.0150E+01  2.7711E+01  1.0000E+00  1.0000E+00  1.0123E+00  1.0417E+00  1.0559E+00
Ga71   31   71  2.4681E+00  3.7481E+00  1.1413E+01  3.3664E+01  9.9998E-01  9.9998E-01  1.0069E+00  1.0318E+00  1.0432E+00
Ge70   32   70  2.4660E+00  3.8395E+00  8.5831E+00  2.6933E+01  9.9999E-01  1.0000E+00  1.0043E+00  1.0248E+00  1.0333E+00
Ge72   32   72  1.9241E+00  2.6696E+00  6.1197E+00  1.8203E+01  9.9998E-01  1.0000E+00  9.9774E-01  9.9541E-01  9.9396E-01
Ge73   32   73  1.5543E+00  1.9807E+00  5.9348E+00  2.0464E+01  1.0000E+00  1.0000E+00  9.9834E-01  9.9510E-01  9.9343E-01
Ge74   32   74  1.5443E+00  1.8616E+00  4.7057E+00  1.3804E+01  9.9999E-01  1.0000E+00  1.0022E+00  1.0073E+00  1.0099E+00
Ge76   32   76  1.1006E+00  1.3350E+00  1.6720E+00  5.1971E+00  9.9997E-01  1.0000E+00  9.9718E-01  9.8872E-01  9.8467E-01
As75   33   75  2.1880E+00  3.4406E+00  8.5104E+00  2.4865E+01  9.9996E-01  9.9996E-01  9.9679E-01  9.9406E-01  9.9234E-01
Se74   34   74  4.5827E+00  9.2618E+00  1.4818E+01  5.6889E+01  9.9998E-01  9.9998E-01  9.7924E-01  9.4624E-01  9.2815E-01
Se76   34   76  2.3514E+00  3.3903E+00  7.5959E+00  2.7070E+01  9.9999E-01  9.9999E-01  1.0184E+00  1.0511E+00  1.0682E+00
Se77   34   77  1.6371E+00  2.3735E+00  6.3117E+00  1.8172E+01  9.9999E-01  9.9999E-01  9.9502E-01  9.9589E-01  9.9550E-01
Se78   34   78  1.5302E+00  1.7232E+00  4.4848E+00  1.5049E+01  9.9997E-01  1.0000E+00  1.0062E+00  1.0248E+00  1.0334E+00
Se80   34   80  1.1666E+00  1.2144E+00  2.2796E+00  6.3545E+00  9.9998E-01  1.0000E+00  9.9480E-01  9.8221E-01  9.7691E-01
Se82   34   82  1.0905E+00  1.3011E+00  1.5494E+00  5.3237E+00  9.9996E-01  9.9996E-01  9.9875E-01  9.9459E-01  9.9268E-01
