 ele  Z   A   PFAv000     PFAv150     PFAv300     PFBv000     PFBv150     PFBv300     PFCv000     PFCv150     PFCv300     PFDv000     PFDv150     PFDv300      YAv000      YAv150      YAv300      YBv000      YBv150      YBv300      YCv000      YCv150      YCv300      YDv000      YDv150      YDv300     PFAvavg     PFBvavg     PFCvavg     PFDvavg      YAvavg      YBvavg      YCvavg      YDvavg       iniA        iniB        iniC        iniD 
S33    16   33  1.5877E+01  2.3319E+01  2.5404E+01  4.9741E+01  7.5121E+01  1.1586E+02  2.5699E+02  6.3369E+02  9.8776E+02  2.4630E+03  5.1970E+03  7.1925E+03  3.6214E-05  5.1885E-05  5.6771E-05  2.5019E-05  3.6645E-05  5.6400E-05  1.3025E-05  2.9110E-05  4.7276E-05  1.2435E-05  2.5133E-05  3.5149E-05  1.5877E+01  4.9742E+01  2.5701E+02  2.4631E+03  3.6215E-05  2.5020E-05  1.3026E-05  1.2436E-05  2.4339E-06  5.4482E-07  5.4482E-08  5.4482E-09
S34    16   34  1.9375E+01  2.9798E+01  3.2150E+01  3.9820E+01  5.8569E+01  1.5380E+02  1.1563E+02  2.7530E+02  1.1328E+03  8.0513E+02  2.3980E+03  7.3588E+03  2.5702E-04  3.8559E-04  4.1784E-04  1.1648E-04  1.6616E-04  4.3539E-04  3.4084E-05  7.3550E-05  3.1532E-04  2.3641E-05  6.7442E-05  2.0914E-04  1.9376E+01  3.9821E+01  1.1564E+02  8.0521E+02  2.5703E-04  1.1649E-04  3.4086E-05  2.3643E-05  1.4155E-05  3.1685E-06  3.1685E-07  3.1685E-08
S36    16   36  4.8633E+00  5.5464E+00  8.9306E+00  3.0494E+00  4.6558E+00  1.2697E+01  1.5549E+00  4.2788E+00  3.9118E+01  1.8561E+00  1.0014E+01  9.3229E+02  3.1846E-07  3.5428E-07  5.7295E-07  4.4034E-08  6.5201E-08  1.7744E-07  2.2625E-09  5.6428E-09  5.3749E-08  2.6904E-10  1.3903E-09  1.3080E-07  4.8633E+00  3.0495E+00  1.5551E+00  1.8565E+00  3.1846E-07  4.4035E-08  2.2627E-09  2.6910E-10  6.9873E-08  1.5641E-08  1.5641E-09  1.5641E-10
Cl35   17   35  4.2065E+00  5.6123E+00  6.3510E+00  1.7947E+01  2.8383E+01  6.6715E+01  5.7364E+01  2.2637E+02  5.5996E+02  5.2272E+02  1.4965E+03  3.2959E+03  2.4341E-05  3.1680E-05  3.6005E-05  1.0229E-05  1.5689E-05  3.6800E-05  3.2946E-06  1.1784E-05  3.0369E-05  2.9906E-06  8.2010E-06  1.8251E-05  4.2066E+00  1.7947E+01  5.7372E+01  5.2277E+02  2.4341E-05  1.0229E-05  3.2950E-06  2.9909E-06  6.1745E-06  6.1737E-07  6.1737E-08  6.1737E-09
Cl37   17   37  3.8337E+00  5.2793E+00  5.8099E+00  1.3674E+01  2.4971E+01  5.5706E+01  5.5509E+01  2.6735E+02  4.2289E+02  7.4569E+02  1.6703E+03  1.6859E+03  7.4953E-06  1.0068E-05  1.1129E-05  2.6333E-06  4.6637E-06  1.0382E-05  1.0771E-06  4.7020E-06  7.7492E-06  1.4414E-06  3.0926E-06  3.1542E-06  3.8338E+00  1.3675E+01  5.5519E+01  7.4573E+02  7.4954E-06  2.6334E-06  1.0773E-06  1.4415E-06  2.0862E-06  2.0859E-07  2.0859E-08  2.0859E-09
Ar36   18   36  6.8721E+00  9.7911E+00  1.1398E+01  3.2187E+01  7.1673E+01  1.3318E+02  2.8742E+02  9.9470E+02  1.3819E+03  3.6974E+03  7.3404E+03  6.4362E+03  3.6268E-04  5.0407E-04  5.8935E-04  3.7460E-04  8.0897E-04  1.5000E-03  3.3706E-04  1.0573E-03  1.5303E-03  4.3193E-04  8.2134E-04  7.2775E-04  6.8722E+00  3.2189E+01  2.8745E+02  3.6975E+03  3.6269E-04  3.7462E-04  3.3710E-04  4.3195E-04  5.6315E-05  1.2606E-05  1.2606E-06  1.2606E-07
Ar38   18   38  1.0997E+01  1.7466E+01  2.0397E+01  2.2920E+01  3.6462E+01  2.4834E+02  6.8286E+01  2.3408E+02  1.6657E+03  7.4085E+02  2.1744E+03  5.8586E+03  1.1139E-04  1.7258E-04  2.0241E-04  5.1192E-05  7.8983E-05  5.3680E-04  1.5369E-05  4.7750E-05  3.5402E-04  1.6610E-05  4.6694E-05  1.2713E-04  1.0998E+01  2.2921E+01  6.8294E+01  7.4092E+02  1.1139E-04  5.1194E-05  1.5370E-05  1.6611E-05  1.0808E-05  2.4193E-06  2.4193E-07  2.4193E-08
Ar40   18   40  7.7675E+00  1.0241E+01  1.4027E+01  6.9411E+00  1.4187E+01  1.6336E+01  3.6156E+00  1.6603E+01  2.3587E+01  2.6188E+00  1.6298E+01  1.8703E+03  1.3245E-07  1.7036E-07  2.3434E-07  2.6101E-08  5.1738E-08  5.9447E-08  1.3700E-09  5.7017E-09  8.4395E-09  9.8845E-11  5.8922E-10  6.8328E-08  7.7676E+00  6.9415E+00  3.6162E+00  2.6195E+00  1.3246E-07  2.6102E-08  1.3702E-09  9.8871E-11  1.8196E-08  4.0730E-09  4.0730E-10  4.0730E-11
K39    19   39  3.4917E+00  5.2121E+00  7.4072E+00  1.9978E+01  4.7408E+01  2.0431E+02  9.1046E+01  7.1779E+02  1.6406E+03  1.2614E+03  3.5664E+03  6.8360E+03  9.3753E-06  1.3652E-05  1.9486E-05  5.2837E-06  1.2160E-05  5.2294E-05  2.4264E-06  1.7338E-05  4.1286E-05  3.3488E-06  9.0687E-06  1.7565E-05  3.4918E+00  1.9980E+01  9.1076E+01  1.2616E+03  9.3755E-06  5.2841E-06  2.4272E-06  3.3491E-06  2.8651E-06  2.8647E-07  2.8647E-08  2.8647E-09
K40    19   40  2.7311E+01  4.2204E+01  7.2797E+01  9.4423E+01  1.6680E+02  3.0934E+02  6.6543E+01  4.2021E+02  1.1927E+03  1.1251E+02  6.0860E+02  4.5216E+04  1.1872E-07  1.7896E-07  3.1002E-07  4.0428E-08  6.9263E-08  1.2818E-07  2.8709E-09  1.6432E-08  4.8592E-08  4.8356E-10  2.5053E-09  1.8809E-07  2.7312E+01  9.4426E+01  6.6560E+01  1.1254E+02  1.1872E-07  4.0430E-08  2.8716E-09  4.8367E-10  4.6383E-09  4.6377E-10  4.6377E-11  4.6377E-12
