  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
Kr86   36   86  1.2297E+00  1.4594E+00  2.7200E+00  6.0444E+00  1.1831E+01  2.3724E+01  2.8270E+01  5.3863E+01  6.6738E+01
Rb85   37   85  1.1630E+00  1.3156E+00  2.5211E+00  5.4605E+00  8.0597E+00  2.0406E+01  2.2404E+01  3.9187E+01  3.8469E+01
Rb87   37   87  1.5528E+00  2.1733E+00  4.0890E+00  9.0627E+00  2.5996E+01  4.9464E+01  6.5835E+01  1.2646E+02  1.4487E+02
Sr84   38   84  2.1839E+00  3.2091E+00  3.5010E+00  1.6482E+01  4.3437E+01  6.1671E+01  9.5668E+01  1.8647E+02  7.8482E+01
Sr86   38   86  1.4911E+00  1.9539E+00  3.8093E+00  7.0088E+00  9.6570E+00  2.7039E+01  3.6853E+01  8.9618E+01  1.1039E+02
Sr87   38   87  1.1901E+00  1.5632E+00  2.9000E+00  4.7639E+00  4.5273E+00  1.8275E+01  2.4670E+01  6.0817E+01  7.4667E+01
Sr88   38   88  1.2165E+00  1.4566E+00  2.2366E+00  3.4585E+00  5.3302E+00  1.3606E+01  1.8281E+01  3.9601E+01  4.5879E+01
Y89    39   89  1.1358E+00  1.2791E+00  1.7982E+00  3.0482E+00  4.3825E+00  9.8909E+00  1.2396E+01  2.3996E+01  2.5524E+01
Zr90   40   90  1.0806E+00  1.1536E+00  1.4073E+00  2.0590E+00  2.7874E+00  5.0229E+00  6.1818E+00  1.1119E+01  1.4186E+01
Zr91   40   91  1.0728E+00  1.1525E+00  1.5576E+00  2.6133E+00  4.6854E+00  8.1901E+00  9.6798E+00  1.5484E+01  1.6960E+01
Zr92   40   92  1.0538E+00  1.1074E+00  1.3800E+00  2.0360E+00  2.0452E+00  4.1723E+00  4.2866E+00  7.0079E+00  7.7159E+00
Zr94   40   94  1.0083E+00  1.0264E+00  1.1748E+00  1.5678E+00  1.7736E+00  2.9550E+00  3.1781E+00  4.9319E+00  5.4956E+00
Zr96   40   96  9.8331E-02  1.0024E-01  3.3057E-01  1.9269E+00  4.3238E+00  6.5075E+00  6.8547E+00  1.0272E+01  1.7528E+01
Nb93   41   93  9.8848E-01  1.0128E+00  1.2054E+00  1.8921E+00  1.8071E+00  3.5662E+00  3.4479E+00  4.9172E+00  4.9517E+00
Mo92   42   92  1.0728E+00  1.1419E+00  1.1628E+00  1.1436E+00  1.4762E+00  1.5280E+00  1.7641E+00  2.3896E+00  2.5139E+00
Mo94   42   94  1.2209E+00  1.3041E+00  1.3863E+00  1.3316E+00  1.6800E+00  1.6340E+00  1.9049E+00  2.6839E+00  2.7268E+00
Mo95   42   95  1.0125E+00  1.0266E+00  1.1411E+00  1.8093E+00  2.4267E+00  4.1855E+00  4.2431E+00  5.5032E+00  5.9236E+00
Mo96   42   96  1.8102E+00  1.7971E+00  1.9172E+00  2.1500E+00  1.8533E+00  2.2421E+00  2.2547E+00  3.1351E+00  3.5887E+00
