# Uncorrected
# names=['KIC', 'Teff1', 'e_Teff1', '[M/H]1', 'e_[M/H]1', 'M1', 'E_M1', 'e_M1', 'R1', 'E_R1', 'e_R1', 'log.g1', 'E_log.g1', 'e_log.g1', 'rho1', 'E_rho1', 'e_rho1']
11601378 4618  82  0.04 0.05     1.09     0.16     0.15    10.25     0.54     0.51     2.452     0.016     0.015     0.00101     0.00003     0.00003
11445818 4624  90 -0.16 0.06     1.41     0.21     0.20    11.56     0.64     0.64     2.461     0.016     0.018     0.00091     0.00003     0.00003
11497421 4582  97 -0.33 0.07     1.08     0.24     0.18    11.21     0.98     0.76     2.372     0.022     0.021     0.00076     0.00005     0.00005
11651776 4402  87 -0.09 0.06     1.33     0.18     0.17    13.06     0.74     0.74     2.330     0.011     0.012     0.00060     0.00003     0.00003
11600024 4663  91 -0.19 0.06     1.10     0.14     0.13    10.34     0.51     0.49     2.448     0.013     0.013     0.00099     0.00003     0.00003
11702195 4508 100 -0.42 0.07     1.01     0.12     0.10     8.34     0.40     0.35     2.600     0.012     0.011     0.00174     0.00006     0.00006
11600208 4832 100 -0.41 0.07     0.91     0.10     0.06     9.95     0.41     0.32     2.403     0.014     0.012     0.00093     0.00003     0.00003
11600604 4916  97 -0.34 0.07     1.61     0.16     0.16     7.20     0.29     0.29     2.932     0.011     0.012     0.00433     0.00013     0.00012
11600255 4847 102 -0.45 0.07     1.12     0.13     0.12     6.18     0.27     0.26     2.905     0.013     0.013     0.00475     0.00013     0.00014
11548940 4581  92 -0.21 0.06     1.15     0.11     0.10    12.97     0.49     0.47     2.273     0.011     0.011     0.00053     0.00001     0.00002
11496569 4715  83  0.02 0.05     1.60     0.19     0.16     9.16     0.41     0.39     2.719     0.011     0.012     0.00208     0.00007     0.00006
11444844 4732  94 -0.25 0.06     0.97     0.11     0.10    10.16     0.45     0.38     2.408     0.016     0.015     0.00092     0.00003     0.00003
11496497 4847  78  0.13 0.05     1.37     0.13     0.12     5.04     0.19     0.18     3.171     0.010     0.010     0.01074     0.00030     0.00030
11444313 4600  86 -0.05 0.06     1.10     0.12     0.11    10.76     0.47     0.45     2.415     0.012     0.011     0.00088     0.00003     0.00003
11599067 4299  66  0.44 0.04 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.000 -9999.000 -9999.000 -9999.00000 -9999.00000 -9999.00000
11495120 4828  85 -0.04 0.06     1.87     0.23     0.28    10.22     0.50     0.62     2.690     0.015     0.018     0.00175     0.00007     0.00007
11599342 4786  89 -0.12 0.06     1.40     0.16     0.15     6.07     0.27     0.26     3.019     0.013     0.013     0.00628     0.00020     0.00021
11494511 4078  77  0.18 0.05     1.28     0.15     0.17    19.54     0.79     1.19     1.966     0.015     0.015     0.00017     0.00001     0.00001
11546913 4939  90 -0.16 0.06     1.56     0.28     0.28     5.37     0.45     0.45     3.170     0.012     0.012     0.01007     0.00084     0.00076
11495084 4540  90 -0.16 0.06     0.93     0.13     0.07    10.53     0.48     0.31     2.366     0.016     0.013     0.00080     0.00002     0.00002
11650039 4425 107 -0.59 0.08     1.09     0.15     0.15    14.69     0.76     0.79     2.139     0.016     0.017     0.00034     0.00001     0.00001
11338267 4563  97 -0.34 0.07     0.88     0.11     0.06    11.07     0.47     0.33     2.297     0.013     0.012     0.00065     0.00002     0.00002
11285433 4636 100 -0.41 0.07     1.25     0.16     0.14    11.52     0.59     0.55     2.410     0.013     0.014     0.00081     0.00003     0.00003
11649294 4570  83  0.01 0.05     1.01     0.16     0.10    10.28     0.56     0.40     2.423     0.018     0.013     0.00094     0.00003     0.00003
11598312 4834  91 -0.18 0.06     1.59     0.14     0.24    10.79     0.35     0.71     2.573     0.011     0.014     0.00128     0.00006     0.00004
11598116 4361  95 -0.29 0.07     1.14     0.18     0.16    14.99     0.92     0.83     2.144     0.017     0.017     0.00034     0.00001     0.00001
11494312 4604  80  0.10 0.05     1.27     0.16     0.15    10.82     0.54     0.51     2.472     0.014     0.014     0.00100     0.00003     0.00003
11546335 3790 109 -0.62 0.08     1.40     0.50     0.48    74.48    13.20    13.27     0.837     0.031     0.032     0.00000     0.00000     0.00000
11441797 4582  92 -0.22 0.06     1.21     0.13     0.12     8.65     0.35     0.35     2.646     0.012     0.013     0.00187     0.00006     0.00005
11597759 4604  96 -0.30 0.07     0.90     0.12     0.05    10.48     0.49     0.25     2.355     0.015     0.013     0.00078     0.00003     0.00003
11494169 4556  91 -0.19 0.06     1.50     0.17     0.16    11.43     0.55     0.52     2.497     0.012     0.011     0.00100     0.00004     0.00004
11442227 4524  83  0.02 0.05     1.25     0.24     0.21    12.60     0.81     0.77     2.336     0.023     0.023     0.00063     0.00002     0.00002
11177727 4438  91 -0.18 0.06     1.21     0.13     0.13    11.59     0.52     0.52     2.391     0.011     0.012     0.00077     0.00003     0.00003
11337714 4570  77  0.18 0.05     1.49     0.24     0.20    11.63     0.69     0.63     2.478     0.017     0.017     0.00094     0.00004     0.00004
11230630 4655  91 -0.18 0.06     0.95     0.10     0.08    10.50     0.46     0.35     2.376     0.012     0.011     0.00082     0.00003     0.00003
11284496 4567  79  0.11 0.05     1.22     0.12     0.11     6.41     0.25     0.24     2.911     0.010     0.010     0.00464     0.00014     0.00014
