isotope,a,z,yield,mass,metallicity,mass_ej,massfrac
he4,4,2,1.5997460919999997,0.9,0.02,4.6,0.34777088956521734
li7,7,3,1.2253565999999999e-08,0.9,0.02,4.6,2.663818695652174e-09
be7,7,4,1.7811663e-08,0.9,0.02,4.6,3.872100652173913e-09
b8,8,5,4.9180732e-24,0.9,0.02,4.6,1.0691463478260871e-24
c12,12,6,0.007497520019999998,0.9,0.02,4.6,0.0016298956565217388
c13,13,6,0.0007664553098,0.9,0.02,4.6,0.00016662071952173915
c14,14,6,2.5392032e-08,0.9,0.02,4.6,5.52000695652174e-09
n13,13,7,0.0,0.9,0.02,4.6,0.0
n14,14,7,0.03906922064,0.9,0.02,4.6,0.008493308834782609
n15,15,7,7.978083999999994e-07,0.9,0.02,4.6,1.7343660869565204e-07
o14,14,8,0.0,0.9,0.02,4.6,0.0
o15,15,8,0.0,0.9,0.02,4.6,0.0
o16,16,8,0.03819559906,0.9,0.02,4.6,0.008303391100000002
o17,17,8,8.361613939999999e-05,0.9,0.02,4.6,1.817742160869565e-05
o18,18,8,6.348365999999907e-07,0.9,0.02,4.6,1.3800795652173712e-07
o19,19,8,0.0,0.9,0.02,4.6,0.0
f17,17,9,0.0,0.9,0.02,4.6,0.0
f18,18,9,0.0,0.9,0.02,4.6,0.0
f19,19,9,2.18949098e-06,0.9,0.02,4.6,4.7597630000000003e-07
f20,20,9,0.0,0.9,0.02,4.6,0.0
ne19,19,10,0.0,0.9,0.02,4.6,0.0
ne20,20,10,0.007451480482299999,0.9,0.02,4.6,0.0016198870613695652
ne21,21,10,1.8656706199999987e-06,0.9,0.02,4.6,4.0558056956521715e-07
ne22,22,10,0.001900589046,0.9,0.02,4.6,0.0004131715317391305
ne23,23,10,0.0,0.9,0.02,4.6,0.0
na21,21,11,0.0,0.9,0.02,4.6,0.0
na22,22,11,1.2230479e-10,0.9,0.02,4.6,2.6587997826086956e-11
na23,23,11,0.0002656938676,0.9,0.02,4.6,5.775953643478261e-05
na24,24,11,0.0,0.9,0.02,4.6,0.0
mg23,23,12,0.0,0.9,0.02,4.6,0.0
mg24,24,12,0.00233317506,0.9,0.02,4.6,0.0005072119695652174
mg25,25,12,0.00045718514419999996,0.9,0.02,4.6,9.938807482608695e-05
mg26,26,12,0.0006263687947999999,0.9,0.02,4.6,0.0001361671293043478
mg27,27,12,0.0,0.9,0.02,4.6,0.0
al25,25,13,0.0,0.9,0.02,4.6,0.0
al26,26,13,2.5852269e-06,0.9,0.02,4.6,5.62005847826087e-07
al27,27,13,0.0002919817538,0.9,0.02,4.6,6.347429430434783e-05
al28,28,13,0.0,0.9,0.02,4.6,0.0
si27,27,14,0.0,0.9,0.02,4.6,0.0
si28,28,14,0.0030207316379999996,0.9,0.02,4.6,0.0006566807908695652
si29,29,14,0.00016188189469999996,0.9,0.02,4.6,3.519171623913043e-05
si30,30,14,0.0001169094239,0.9,0.02,4.6,2.5415092152173916e-05
si31,31,14,0.0,0.9,0.02,4.6,0.0
si32,32,14,1.3405524e-11,0.9,0.02,4.6,2.9142443478260874e-12
si33,33,14,0.0,0.9,0.02,4.6,0.0
p29,29,15,0.0,0.9,0.02,4.6,0.0
p30,30,15,0.0,0.9,0.02,4.6,0.0
p31,31,15,3.900089656e-05,0.9,0.02,4.6,8.478455773913044e-06
p32,32,15,3.422174e-15,0.9,0.02,4.6,7.439508695652174e-16
p33,33,15,3.2500603e-25,0.9,0.02,4.6,7.065348478260869e-26
p34,34,15,0.0,0.9,0.02,4.6,0.0
s32,32,16,0.0018176959601999998,0.9,0.02,4.6,0.00039515129569565215
s33,33,16,1.506387781e-05,0.9,0.02,4.6,3.274756045652174e-06
s34,34,16,0.0008612221391799999,0.9,0.02,4.6,0.00018722220416956522
s35,35,16,3.0923505e-07,0.9,0.02,4.6,6.722501086956523e-08
fe54,54,26,0.000324141267,0.9,0.02,4.6,7.046549282608696e-05
fe55,55,26,4.2869235e-07,0.9,0.02,4.6,9.31939891304348e-08
fe56,56,26,0.0053403871739999996,0.9,0.02,4.6,0.001160953733478261
fe57,57,26,0.00013888904329999998,0.9,0.02,4.6,3.0193270282608693e-05
fe58,58,26,4.151629014e-05,0.9,0.02,4.6,9.025280465217391e-06
fe59,59,26,1.5295932999999999e-25,0.9,0.02,4.6,3.3252028260869566e-26
fe60,60,26,5.6488143e-06,0.9,0.02,4.6,1.2280031086956523e-06
fe61,61,26,0.0,0.9,0.02,4.6,0.0
co59,59,27,2.30744902e-05,0.9,0.02,4.6,5.016193521739131e-06
co60,60,27,2.1456999e-11,0.9,0.02,4.6,4.664565e-12
co61,61,27,0.0,0.9,0.02,4.6,0.0
ni58,58,28,0.00022473569639999997,0.9,0.02,4.6,4.8855586173913044e-05
ni59,59,28,6.041342e-08,0.9,0.02,4.6,1.3133352173913045e-08
ni60,60,28,9.237090339999999e-05,0.9,0.02,4.6,2.0080631173913042e-05
ni61,61,28,2.9302433721999998e-05,0.9,0.02,4.6,6.370094287391304e-06
ni62,62,28,1.6951639999999917e-08,0.9,0.02,4.6,3.685139130434765e-09
g,1,0,1.390789439225e-06,0.929,0.02,5.071,2.74263348299152e-07
n,1,0,0.0,0.929,0.02,5.071,0.0
p,1,1,3.1368820371299995,0.929,0.02,5.071,0.6185923954111614
d,2,1,2.3496643e-17,0.929,0.02,5.071,4.633532439361073e-18
he3,3,2,4.2861561e-06,0.929,0.02,5.071,8.452289686452377e-07
he4,4,2,1.8176626380199998,0.929,0.02,5.071,0.3584426420863735
li7,7,3,8.93778153e-09,0.929,0.02,5.071,1.7625284026819168e-09
be7,7,4,1.3017448e-08,0.929,0.02,5.071,2.567037665154802e-09
b8,8,5,4.0454085e-24,0.929,0.02,5.071,7.977535988956813e-25
c12,12,6,0.005532277588199998,0.929,0.02,5.071,0.0010909638312364422
c13,13,6,0.000739759361373,0.929,0.02,5.071,0.0001458803710063104
c14,14,6,1.5680795e-08,0.929,0.02,5.071,3.0922490633011243e-09
n13,13,7,0.0,0.929,0.02,5.071,0.0
n14,14,7,0.0418235501414,0.929,0.02,5.071,0.00824759419077105
n15,15,7,9.184291689999972e-07,0.929,0.02,5.071,1.8111401478998172e-07
o14,14,8,0.0,0.929,0.02,5.071,0.0
o15,15,8,0.0,0.929,0.02,5.071,0.0
o16,16,8,0.0406737057691,0.929,0.02,5.071,0.008020845152652337
o17,17,8,0.00010260501474399999,0.929,0.02,5.071,2.0233684627095247e-05
o18,18,8,7.096449659999829e-07,0.929,0.02,5.071,1.399418193650134e-07
o19,19,8,0.0,0.929,0.02,5.071,0.0
f17,17,9,0.0,0.929,0.02,5.071,0.0
f18,18,9,0.0,0.929,0.02,5.071,0.0
f19,19,9,1.2433071035e-06,0.929,0.02,5.071,2.4517986659436013e-07
f20,20,9,0.0,0.929,0.02,5.071,0.0
ne19,19,10,0.0,0.929,0.02,5.071,0.0
ne20,20,10,0.008207966770999999,0.929,0.02,5.071,0.0016186091049102738
ne21,21,10,1.2672012036999988e-06,0.929,0.02,5.071,2.498917774995068e-07
ne22,22,10,0.0015587028822099998,0.929,0.02,5.071,0.0003073758395208046
ne23,23,10,0.0,0.929,0.02,5.071,0.0
na21,21,11,0.0,0.929,0.02,5.071,0.0
na22,22,11,1.7932399e-10,0.929,0.02,5.071,3.536264839282193e-11
na23,23,11,0.00030088394687599997,0.929,0.02,5.071,5.933424312285545e-05
na24,24,11,0.0,0.929,0.02,5.071,0.0
mg23,23,12,0.0,0.929,0.02,5.071,0.0
mg24,24,12,0.00256380486303,0.929,0.02,5.071,0.0005055817122914613
mg25,25,12,0.00047072837781699997,0.929,0.02,5.071,9.282752471248274e-05
mg26,26,12,0.0006408147395480001,0.929,0.02,5.071,0.00012636851499664762
mg27,27,12,0.0,0.929,0.02,5.071,0.0
al25,25,13,0.0,0.929,0.02,5.071,0.0
al26,26,13,3.7120067e-06,0.929,0.02,5.071,7.320068428317887e-07
al27,27,13,0.000316097770598,0.929,0.02,5.071,6.233440556063894e-05
al28,28,13,0.0,0.929,0.02,5.071,0.0
si27,27,14,0.0,0.929,0.02,5.071,0.0
si28,28,14,0.00333053819332,0.929,0.02,5.071,0.0006567813435850917
si29,29,14,0.00017773230319899998,0.929,0.02,5.071,3.5048768132321035e-05
si30,30,14,0.000126927727161,0.929,0.02,5.071,2.5030117760007887e-05
si31,31,14,0.0,0.929,0.02,5.071,0.0
si32,32,14,4.0523175e-11,0.929,0.02,5.071,7.991160520607375e-12
si33,33,14,0.0,0.929,0.02,5.071,0.0
p29,29,15,0.0,0.929,0.02,5.071,0.0
p30,30,15,0.0,0.929,0.02,5.071,0.0
p31,31,15,4.27644500581e-05,0.929,0.02,5.071,8.433139431690002e-06
p32,32,15,1.0344791e-14,0.929,0.02,5.071,2.0399903372115954e-15
p33,33,15,4.2265586e-24,0.929,0.02,5.071,8.334763557483732e-25
p34,34,15,0.0,0.929,0.02,5.071,0.0
s32,32,16,0.00200532709317,0.929,0.02,5.071,0.0003954500282330901
s33,33,16,1.6536885358e-05,0.929,0.02,5.071,3.261069879313745e-06
s34,34,16,0.0009492506007169999,0.929,0.02,5.071,0.0001871919938309998
s35,35,16,2.6560181e-07,0.929,0.02,5.071,5.2376614080063105e-08
fe54,54,26,0.000358408995931,0.929,0.02,5.071,7.067816918379018e-05
fe55,55,26,5.6722286e-07,0.929,0.02,5.071,1.1185621376454348e-07
fe56,56,26,0.0059000386617,0.929,0.02,5.071,0.0011634862279037666
fe57,57,26,0.000150883742335,0.929,0.02,5.071,2.975423828337606e-05
fe58,58,26,3.81608010839e-05,0.929,0.02,5.071,7.5253009433839485e-06
fe59,59,26,3.1945281000000003e-24,0.929,0.02,5.071,6.299601853677777e-25
fe60,60,26,4.7137009e-06,0.929,0.02,5.071,9.295407020311576e-07
fe61,61,26,0.0,0.929,0.02,5.071,0.0
co59,59,27,2.31774949425e-05,0.929,0.02,5.071,4.5705965179451785e-06
co60,60,27,5.7648591e-10,0.929,0.02,5.071,1.1368288503253797e-10
co61,61,27,0.0,0.929,0.02,5.071,0.0
ni58,58,28,0.000248606017834,0.929,0.02,5.071,4.9025047886807345e-05
ni59,59,28,5.421958e-08,0.929,0.02,5.071,1.0692088345493985e-08
ni60,60,28,0.00010120064127399999,0.929,0.02,5.071,1.9956742511141784e-05
ni61,61,28,2.996500632397e-05,0.929,0.02,5.071,5.909092156176297e-06
ni62,62,28,1.762934139999953e-08,0.929,0.02,5.071,3.4765019522775644e-09
g,1,0,1.520248063575e-06,0.963,0.02,5.537,2.7456168747968214e-07
n,1,0,0.0,0.963,0.02,5.537,0.0
p,1,1,3.3892407911099998,0.963,0.02,5.537,0.6121077823929926
d,2,1,2.4562438e-17,0.963,0.02,5.537,4.43605526458371e-18
he3,3,2,4.4275466e-06,0.963,0.02,5.537,7.996291493588586e-07
he4,4,2,2.02536166094,0.963,0.02,5.537,0.36578682697128406
li7,7,3,1.2459556999999998e-08,0.963,0.02,5.537,2.250236048401661e-09
be7,7,4,1.6748201e-08,0.963,0.02,5.537,3.0247789416651615e-09
b8,8,5,1.0242085e-23,0.963,0.02,5.537,1.849753476611884e-24
c12,12,6,0.005558636285399999,0.963,0.02,5.537,0.001003907582698212
c13,13,6,0.000733641048131,0.963,0.02,5.537,0.00013249793175564386
c14,14,6,1.1729933e-08,0.963,0.02,5.537,2.1184636084522304e-09
n13,13,7,0.0,0.963,0.02,5.537,0.0
n14,14,7,0.042710297125800004,0.963,0.02,5.537,0.007713616963301428
n15,15,7,1.0420867430000013e-06,0.963,0.02,5.537,1.8820421582084184e-07
o14,14,8,0.0,0.963,0.02,5.537,0.0
o15,15,8,0.0,0.963,0.02,5.537,0.0
o16,16,8,0.043523612767700004,0.963,0.02,5.537,0.007860504382824636
o17,17,8,0.000126624518768,0.963,0.02,5.537,2.2868795154054544e-05
o18,18,8,8.018146019999847e-07,0.963,0.02,5.537,1.448102947444437e-07
o19,19,8,0.0,0.963,0.02,5.537,0.0
f17,17,9,0.0,0.963,0.02,5.537,0.0
f18,18,9,0.0,0.963,0.02,5.537,0.0
f19,19,9,1.0532238144999999e-06,0.963,0.02,5.537,1.902156067364999e-07
f20,20,9,0.0,0.963,0.02,5.537,0.0
ne19,19,10,0.0,0.963,0.02,5.537,0.0
ne20,20,10,0.008962952871,0.963,0.02,5.537,0.0016187381020408163
ne21,21,10,1.2905834139000011e-06,0.963,0.02,5.537,2.3308351343687938e-07
ne22,22,10,0.00136155136587,0.963,0.02,5.537,0.00024590055370597795
ne23,23,10,0.0,0.963,0.02,5.537,0.0
na21,21,11,0.0,0.963,0.02,5.537,0.0
na22,22,11,3.8961484e-10,0.963,0.02,5.537,7.036569261332852e-11
na23,23,11,0.00033378821637199997,0.963,0.02,5.537,6.028322491818674e-05
na24,24,11,0.0,0.963,0.02,5.537,0.0
mg23,23,12,0.0,0.963,0.02,5.537,0.0
mg24,24,12,0.00277319900741,0.963,0.02,5.537,0.0005008486558443201
mg25,25,12,0.000524721001799,0.963,0.02,5.537,9.476629976503522e-05
mg26,26,12,0.000686694712356,0.963,0.02,5.537,0.0001240192725945458
mg27,27,12,0.0,0.963,0.02,5.537,0.0
al25,25,13,0.0,0.963,0.02,5.537,0.0
al26,26,13,4.5581028e-06,0.963,0.02,5.537,8.232080187827342e-07
al27,27,13,0.000339136385706,0.963,0.02,5.537,6.124912149286618e-05
al28,28,13,0.0,0.963,0.02,5.537,0.0
si27,27,14,0.0,0.963,0.02,5.537,0.0
si28,28,14,0.0036371245980399997,0.963,0.02,5.537,0.0006568763948058515
si29,29,14,0.00019375421945299996,0.963,0.02,5.537,3.4992634902113054e-05
si30,30,14,0.000137722019467,0.963,0.02,5.537,2.4873039455842518e-05
si31,31,14,0.0,0.963,0.02,5.537,0.0
si32,32,14,1.6725343e-11,0.963,0.02,5.537,3.0206507133826983e-12
si33,33,14,0.0,0.963,0.02,5.537,0.0
p29,29,15,0.0,0.963,0.02,5.537,0.0
p30,30,15,0.0,0.963,0.02,5.537,0.0
p31,31,15,4.66457307507e-05,0.963,0.02,5.537,8.424368927343327e-06
p32,32,15,4.2696597e-15,0.963,0.02,5.537,7.711142676539643e-16
p33,33,15,1.3261984e-23,0.963,0.02,5.537,2.3951569441936068e-24
p34,34,15,0.0,0.963,0.02,5.537,0.0
s32,32,16,0.00219063845929,0.963,0.02,5.537,0.00039563634807476974
s33,33,16,1.8011294496e-05,0.963,0.02,5.537,3.2528976875564384e-06
s34,34,16,0.001036508059856,0.963,0.02,5.537,0.00018719668771103484
s35,35,16,2.5474813e-07,0.963,0.02,5.537,4.600833122629583e-08
fe54,54,26,0.000391956164457,0.963,0.02,5.537,7.07885433370056e-05
fe55,55,26,7.9127773e-07,0.963,0.02,5.537,1.4290730178797183e-07
fe56,56,26,0.0064503431409,0.963,0.02,5.537,0.0011649527074047317
fe57,57,26,0.00016326536034500002,0.963,0.02,5.537,2.948624893353802e-05
fe58,58,26,3.6717871423299996e-05,0.963,0.02,5.537,6.631365617355968e-06
fe59,59,26,9.072984900000002e-22,0.963,0.02,5.537,1.638610240202276e-22
fe60,60,26,5.0153758e-06,0.963,0.02,5.537,9.057929925952681e-07
fe61,61,26,0.0,0.963,0.02,5.537,0.0
co59,59,27,2.40850777975e-05,0.963,0.02,5.537,4.349842477424598e-06
co60,60,27,4.5025868e-11,0.963,0.02,5.537,8.131816507133827e-12
co61,61,27,0.0,0.963,0.02,5.537,0.0
ni58,58,28,0.000272001681898,0.963,0.02,5.537,4.912437816471013e-05
ni59,59,28,4.5547235e-08,0.963,0.02,5.537,8.225977063391729e-09
ni60,60,28,0.00011007454547799999,0.963,0.02,5.537,1.9879816774065375e-05
ni61,61,28,3.136550173059e-05,0.963,0.02,5.537,5.664710444390464e-06
ni62,62,28,2.0030525800000066e-08,0.963,0.02,5.537,3.617577352356884e-09
g,1,0,6.10596123e-09,0.61,0.004,0.39,1.5656310846153844e-08
n,1,0,0.0,0.61,0.004,0.39,0.0
p,1,1,0.2838061932,0.61,0.004,0.39,0.7277081876923077
d,2,1,1.3314923999999998e-18,0.61,0.004,0.39,3.4140830769230764e-18
he3,3,2,0.00012238204,0.61,0.004,0.39,0.0003138001025641026
he4,4,2,0.10458627290000001,0.61,0.004,0.39,0.26816993051282056
li7,7,3,4.934933300000001e-10,0.61,0.004,0.39,1.265367512820513e-09
be7,7,4,2.0494656e-11,0.61,0.004,0.39,5.25504e-11
b8,8,5,7.167577100000001e-27,0.61,0.004,0.39,1.8378402820512823e-26
c12,12,6,0.0001935272093,0.61,0.004,0.39,0.0004962236135897435
c13,13,6,7.235402803e-06,0.61,0.004,0.39,1.855231487948718e-05
c14,14,6,7.396648300000001e-26,0.61,0.004,0.39,1.8965764871794873e-25
n13,13,7,0.0,0.61,0.004,0.39,0.0
n14,14,7,0.0001359031496,0.61,0.004,0.39,0.00034846961435897435
n15,15,7,2.3107511940000004e-07,0.61,0.004,0.39,5.925003061538463e-07
o14,14,8,0.0,0.61,0.004,0.39,0.0
o15,15,8,0.0,0.61,0.004,0.39,0.0
o16,16,8,0.0007436783162,0.61,0.004,0.39,0.0019068674774358973
o17,17,8,6.450324157e-07,0.61,0.004,0.39,1.6539292710256411e-06
o18,18,8,1.5406215300000003e-06,0.61,0.004,0.39,3.950311615384616e-06
o19,19,8,0.0,0.61,0.004,0.39,0.0
f17,17,9,0.0,0.61,0.004,0.39,0.0
f18,18,9,0.0,0.61,0.004,0.39,0.0
f19,19,9,3.132045719e-08,0.61,0.004,0.39,8.030886458974358e-08
f20,20,9,0.0,0.61,0.004,0.39,0.0
ne19,19,10,0.0,0.61,0.004,0.39,0.0
ne20,20,10,0.00012634537787,0.61,0.004,0.39,0.00032396250735897434
ne21,21,10,3.3292804940000005e-07,0.61,0.004,0.39,8.536616651282053e-07
ne22,22,10,9.99156068e-06,0.61,0.004,0.39,2.5619386358974358e-05
ne23,23,10,0.0,0.61,0.004,0.39,0.0
na21,21,11,0.0,0.61,0.004,0.39,0.0
na22,22,11,7.5717527e-31,0.61,0.004,0.39,1.9414750512820514e-30
na23,23,11,2.789561314e-06,0.61,0.004,0.39,7.152721317948718e-06
na24,24,11,0.0,0.61,0.004,0.39,0.0
mg23,23,12,0.0,0.61,0.004,0.39,0.0
mg24,24,12,4.0188559543400006e-05,0.61,0.004,0.39,0.00010304758857282052
mg25,25,12,5.264418902e-06,0.61,0.004,0.39,1.3498510005128205e-05
mg26,26,12,6.071747904000001e-06,0.61,0.004,0.39,1.556858436923077e-05
mg27,27,12,0.0,0.61,0.004,0.39,0.0
al25,25,13,0.0,0.61,0.004,0.39,0.0
al26,26,13,3.0869685e-09,0.61,0.004,0.39,7.915303846153847e-09
al27,27,13,4.5338989007000005e-06,0.61,0.004,0.39,1.1625381796666668e-05
al28,28,13,0.0,0.61,0.004,0.39,0.0
si27,27,14,0.0,0.61,0.004,0.39,0.0
si28,28,14,5.0988839409300004e-05,0.61,0.004,0.39,0.00013074061387
si29,29,14,2.674995137555e-06,0.61,0.004,0.39,6.858961891166666e-06
si30,30,14,1.836609462753e-06,0.61,0.004,0.39,4.709255032699999e-06
si31,31,14,0.0,0.61,0.004,0.39,0.0
si32,32,14,0.0,0.61,0.004,0.39,0.0
si33,33,14,0.0,0.61,0.004,0.39,0.0
p29,29,15,0.0,0.61,0.004,0.39,0.0
p30,30,15,0.0,0.61,0.004,0.39,0.0
p31,31,15,6.36797087734e-07,0.61,0.004,0.39,1.6328130454717949e-06
p32,32,15,0.0,0.61,0.004,0.39,0.0
p33,33,15,0.0,0.61,0.004,0.39,0.0
p34,34,15,0.0,0.61,0.004,0.39,0.0
s32,32,16,3.090777719491e-05,0.61,0.004,0.39,7.925071075617949e-05
s33,33,16,2.5159374549640003e-07,0.61,0.004,0.39,6.451121679394872e-07
s34,34,16,1.458841944089e-05,0.61,0.004,0.39,3.740620369458974e-05
s35,35,16,9.6617418e-21,0.61,0.004,0.39,2.4773696923076923e-20
fe54,54,26,5.56873288935e-06,0.61,0.004,0.39,1.4278802280384614e-05
fe55,55,26,3.8430323e-19,0.61,0.004,0.39,9.853928974358973e-19
fe56,56,26,9.130900692140002e-05,0.61,0.004,0.39,0.00023412565877282057
fe57,57,26,2.229945230546e-06,0.61,0.004,0.39,5.7178082834512816e-06
fe58,58,26,2.8876864239440004e-07,0.61,0.004,0.39,7.404324163958975e-07
fe59,59,26,0.0,0.61,0.004,0.39,0.0
fe60,60,26,8.010053399999999e-36,0.61,0.004,0.39,2.053859846153846e-35
fe61,61,26,0.0,0.61,0.004,0.39,0.0
co59,59,27,2.62284894826e-07,0.61,0.004,0.39,6.72525371348718e-07
co60,60,27,3.4072482e-38,0.61,0.004,0.39,8.736533846153846e-38
co61,61,27,0.0,0.61,0.004,0.39,0.0
ni58,58,28,3.861575530510001e-06,0.61,0.004,0.39,9.901475719256411e-06
ni59,59,28,2.2636343e-21,0.61,0.004,0.39,5.8041905128205126e-21
ni60,60,28,1.5293686648460002e-06,0.61,0.004,0.39,3.9214581149897436e-06
ni61,61,28,1.6980562620000002e-07,0.61,0.004,0.39,4.3539904153846155e-07
ni62,62,28,1.1246475829999998e-07,0.61,0.004,0.39,2.8837117512820506e-07
g,1,0,1.0040555756e-08,0.642,0.004,0.608,1.6514071967105262e-08
n,1,0,0.0,0.642,0.004,0.608,0.0
p,1,1,0.4402474358,0.642,0.004,0.608,0.7240911773026315
d,2,1,2.4817231999999997e-18,0.642,0.004,0.608,4.081781578947368e-18
he3,3,2,0.00019051151,0.642,0.004,0.608,0.00031334129934210527
he4,4,2,0.16506013192,0.642,0.004,0.608,0.27148048013157894
li7,7,3,6.326204599999999e-10,0.642,0.004,0.608,1.0404941776315788e-09
be7,7,4,2.9256111e-12,0.642,0.004,0.608,4.811860361842105e-12
b8,8,5,6.4218609e-22,0.642,0.004,0.608,1.0562271217105263e-21
c12,12,6,0.00043542569556,0.642,0.004,0.608,0.0007161606834868421
c13,13,6,1.10318316616e-05,0.642,0.004,0.608,1.814445996973684e-05
c14,14,6,1.658252e-11,0.642,0.004,0.608,2.727388157894737e-11
n13,13,7,0.0,0.642,0.004,0.608,0.0
n14,14,7,0.00025399958792,0.642,0.004,0.608,0.00041776248013157893
n15,15,7,3.0762330768000004e-07,0.642,0.004,0.608,5.059593876315791e-07
o14,14,8,0.0,0.642,0.004,0.608,0.0
o15,15,8,0.0,0.642,0.004,0.608,0.0
o16,16,8,0.0011658324479999998,0.642,0.004,0.608,0.0019174875789473682
o17,17,8,1.13920418304e-06,0.642,0.004,0.608,1.8736910905263158e-06
o18,18,8,2.156760608e-06,0.642,0.004,0.608,3.5473036315789475e-06
o19,19,8,0.0,0.642,0.004,0.608,0.0
f17,17,9,0.0,0.642,0.004,0.608,0.0
f18,18,9,0.0,0.642,0.004,0.608,0.0
f19,19,9,5.1961792292e-08,0.642,0.004,0.608,8.54634741644737e-08
f20,20,9,0.0,0.642,0.004,0.608,0.0
ne19,19,10,0.0,0.642,0.004,0.608,0.0
ne20,20,10,0.000196915581935,0.642,0.004,0.608,0.0003238743123930921
ne21,21,10,5.143738972799999e-07,0.642,0.004,0.608,8.460096994736842e-07
ne22,22,10,1.8000657819999997e-05,0.642,0.004,0.608,2.9606345098684205e-05
ne23,23,10,0.0,0.642,0.004,0.608,0.0
na21,21,11,0.0,0.642,0.004,0.608,0.0
na22,22,11,4.1200764e-28,0.642,0.004,0.608,6.776441447368422e-28
na23,23,11,4.4505800688e-06,0.642,0.004,0.608,7.320033007894737e-06
na24,24,11,0.0,0.642,0.004,0.608,0.0
mg23,23,12,0.0,0.642,0.004,0.608,0.0
mg24,24,12,6.264821239019999e-05,0.642,0.004,0.608,0.00010303982301019736
mg25,25,12,8.202792877e-06,0.642,0.004,0.608,1.3491435652960528e-05
mg26,26,12,9.456808757e-06,0.642,0.004,0.608,1.555396177138158e-05
mg27,27,12,0.0,0.642,0.004,0.608,0.0
al25,25,13,0.0,0.642,0.004,0.608,0.0
al26,26,13,1.5725663e-08,0.642,0.004,0.608,2.586457730263158e-08
al27,27,13,7.099269276000001e-06,0.642,0.004,0.608,1.167642973026316e-05
al28,28,13,0.0,0.642,0.004,0.608,0.0
si27,27,14,0.0,0.642,0.004,0.608,0.0
si28,28,14,7.948889356256999e-05,0.642,0.004,0.608,0.00013073831178054274
si29,29,14,4.170184297681999e-06,0.642,0.004,0.608,6.858855752766446e-06
si30,30,14,2.8637766173899996e-06,0.642,0.004,0.608,4.710158910180921e-06
si31,31,14,0.0,0.642,0.004,0.608,0.0
si32,32,14,2.1108675e-19,0.642,0.004,0.608,3.4718215460526316e-19
si33,33,14,0.0,0.642,0.004,0.608,0.0
p29,29,15,0.0,0.642,0.004,0.608,0.0
p30,30,15,0.0,0.642,0.004,0.608,0.0
p31,31,15,9.928046109899999e-07,0.642,0.004,0.608,1.6329023207072367e-06
p32,32,15,5.3886413e-23,0.642,0.004,0.608,8.862896875e-23
p33,33,15,0.0,0.642,0.004,0.608,0.0
p34,34,15,0.0,0.642,0.004,0.608,0.0
s32,32,16,4.8182492537369994e-05,0.642,0.004,0.608,7.924752062067433e-05
s33,33,16,3.9240142143e-07,0.642,0.004,0.608,6.453970747203947e-07
s34,34,16,2.2742249185138002e-05,0.642,0.004,0.608,3.7405015107134875e-05
s35,35,16,2.3020729e-11,0.642,0.004,0.608,3.7863041118421054e-11
fe54,54,26,8.679665288399999e-06,0.642,0.004,0.608,1.4275765276973683e-05
fe55,55,26,1.1622537e-09,0.642,0.004,0.608,1.911601480263158e-09
fe56,56,26,0.00014233763248970002,0.642,0.004,0.608,0.00023410794817384874
fe57,57,26,3.4812645653e-06,0.642,0.004,0.608,5.725764087664474e-06
fe58,58,26,4.5204587224e-07,0.642,0.004,0.608,7.434965003947368e-07
fe59,59,26,1.1617881e-38,0.642,0.004,0.608,1.9108356907894737e-38
fe60,60,26,1.964094e-13,0.642,0.004,0.608,3.2304177631578946e-13
fe61,61,26,0.0,0.642,0.004,0.608,0.0
co59,59,27,4.0964898601e-07,0.642,0.004,0.608,6.737647796217106e-07
co60,60,27,6.9022297e-19,0.642,0.004,0.608,1.1352351480263159e-18
co61,61,27,0.0,0.642,0.004,0.608,0.0
ni58,58,28,6.0188689857000004e-06,0.642,0.004,0.608,9.899455568585527e-06
ni59,59,28,8.8151722e-11,0.642,0.004,0.608,1.4498638486842106e-10
ni60,60,28,2.3841108046549996e-06,0.642,0.004,0.608,3.921234876077302e-06
ni61,61,28,2.9668368464e-07,0.642,0.004,0.608,4.879665865789474e-07
ni62,62,28,1.4324928575999998e-07,0.642,0.004,0.608,2.3560737789473683e-07
g,1,0,1.5203845404e-08,0.628,0.004,0.872,1.7435602527522935e-08
n,1,0,0.0,0.628,0.004,0.872,0.0
p,1,1,0.6310978582,0.628,0.004,0.872,0.7237360759174312
d,2,1,4.2420506e-18,0.628,0.004,0.872,4.864736926605504e-18
he3,3,2,0.00028161402,0.628,0.004,0.872,0.0003229518577981651
he4,4,2,0.23537384028,0.628,0.004,0.872,0.2699241287614679
li7,7,3,6.528334699999999e-10,0.628,0.004,0.872,7.48662236238532e-10
be7,7,4,2.3072432e-13,0.628,0.004,0.872,2.645921100917431e-13
b8,8,5,3.0942816e-26,0.628,0.004,0.872,3.5484880733944957e-26
c12,12,6,0.00218983330904,0.628,0.004,0.872,0.002511276730550459
c13,13,6,1.6411224834400002e-05,0.628,0.004,0.872,1.882021196605505e-05
c14,14,6,1.6194172e-10,0.628,0.004,0.872,1.8571298165137615e-10
n13,13,7,0.0,0.628,0.004,0.872,0.0
n14,14,7,0.00039684548728000004,0.628,0.004,0.872,0.00045509803587155965
n15,15,7,3.8283979312000005e-07,0.628,0.004,0.872,4.3903646000000007e-07
o14,14,8,0.0,0.628,0.004,0.872,0.0
