isotope,a,z,yield,mass,metallicity,mass_ej,massfrac
mg25,25,12,8.209478230484e-05,0.966,0.0001,4.534,1.8106480437767975e-05
mg26,26,12,0.00025464964079466003,0.966,0.0001,4.534,5.616445540243936e-05
mg27,27,12,9.4108402e-41,0.966,0.0001,4.534,2.0756153947948832e-41
al25,25,13,0.0,0.966,0.0001,4.534,0.0
al26,26,13,3.4137668e-06,0.966,0.0001,4.534,7.52926069695633e-07
al27,27,13,1.191277348134e-05,0.966,0.0001,4.534,2.6274312927525363e-06
al28,28,13,5.0462874e-39,0.966,0.0001,4.534,1.1129879576532863e-39
si27,27,14,0.0,0.966,0.0001,4.534,0.0
si28,28,14,2.06817458778e-05,0.966,0.0001,4.534,4.561479020247023e-06
si29,29,14,1.71978464892e-06,0.966,0.0001,4.534,3.793084801323335e-07
si30,30,14,2.2606885347399997e-06,0.966,0.0001,4.534,4.986079697265107e-07
si31,31,14,5.502626327999983e-37,0.966,0.0001,4.534,1.2136361552712799e-37
si32,32,14,1.467392e-10,0.966,0.0001,4.534,3.236418173797971e-11
si33,33,14,0.0,0.966,0.0001,4.534,0.0
p29,29,15,0.0,0.966,0.0001,4.534,0.0
p30,30,15,0.0,0.966,0.0001,4.534,0.0
p31,31,15,8.07105649974e-07,0.966,0.0001,4.534,1.780118328129687e-07
p32,32,15,3.7459707e-14,0.966,0.0001,4.534,8.261955668284077e-15
p33,33,15,1.4244664999999998e-18,0.966,0.0001,4.534,3.1417434936038814e-19
p34,34,15,0.0,0.966,0.0001,4.534,0.0
s32,32,16,8.952036498199999e-06,0.966,0.0001,4.534,1.9744235770180854e-06
s33,33,16,7.703920439999998e-08,0.966,0.0001,4.534,1.699144340538156e-08
s34,34,16,4.2676618559e-06,0.966,0.0001,4.534,9.412575773930304e-07
s35,35,16,1.0792723e-08,0.966,0.0001,4.534,2.3803976621085137e-09
fe54,54,26,1.5778752758999998e-06,0.966,0.0001,4.534,3.4800954475077193e-07
fe55,55,26,3.5913277e-09,0.966,0.0001,4.534,7.920881561535068e-10
