  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
  Co   27    0  6.8064E+00  8.9350E+00  9.7056E+00  8.6114E+00  1.0493E+00  1.0679E+00  1.1253E+00  1.2053E+00  1.1699E+00
  Ni   28    0  1.0397E+01  3.0810E+01  7.8923E+00  6.4033E+00  9.9733E-01  9.9636E-01  9.9350E-01  9.9153E-01  9.9198E-01
  Cu   29    0  2.1099E+01  3.4383E+01  3.5398E+01  3.5569E+01  1.0319E+00  1.0437E+00  1.0805E+00  1.1776E+00  1.1398E+00
  Zn   30    0  1.2471E+01  2.3249E+01  2.0045E+01  1.9972E+01  9.9846E-01  9.9795E-01  9.9666E-01  1.0028E+00  9.9920E-01
  Ga   31    0  3.7229E+01  1.0051E+02  6.6178E+01  7.0296E+01  1.0139E+00  1.0190E+00  1.0342E+00  1.0654E+00  1.0554E+00
  Ge   32    0  1.9282E+01  6.0163E+01  4.0235E+01  3.8869E+01  1.0012E+00  1.0017E+00  1.0033E+00  1.0107E+00  1.0077E+00
  As   33    0  2.7134E+01  1.0367E+02  5.5911E+01  6.5859E+01  9.9651E-01  9.9533E-01  9.9179E-01  9.9188E-01  9.9161E-01
  Se   34    0  1.3192E+01  4.8655E+01  3.0294E+01  2.5851E+01  9.9962E-01  9.9948E-01  9.9906E-01  9.9982E-01  1.0007E+00
  Br   35    0  9.2822E+00  3.1524E+01  1.9676E+01  2.0942E+01  9.9518E-01  9.9327E-01  9.8744E-01  9.8294E-01  9.8430E-01
  Kr   36    0  8.1999E+00  3.2150E+01  1.5465E+01  1.4982E+01  1.0040E+00  1.0056E+00  1.0106E+00  1.0186E+00  1.0142E+00
  Rb   37    0  9.1789E+00  4.6927E+01  2.0603E+01  1.9128E+01  9.9643E-01  9.9510E-01  9.9112E-01  9.8573E-01  9.8745E-01
  Sr   38    0  1.0524E+01  4.6333E+01  1.3977E+01  1.6808E+01  1.0144E+00  1.0197E+00  1.0357E+00  1.0693E+00  1.0572E+00
  Y    39    0  6.2777E+00  2.7452E+01  9.8434E+00  9.2184E+00  1.0009E+00  1.0013E+00  1.0026E+00  1.0064E+00  1.0045E+00
  Zr   40    0  3.5738E+00  1.2936E+01  5.9480E+00  4.3028E+00  9.7054E-01  9.7059E-01  9.7068E-01  9.7201E-01  9.7143E-01
  Nb   41    0  1.9202E+00  6.0637E+00  3.1303E+00  2.6702E+00  9.8638E-01  9.8171E-01  9.6733E-01  9.6437E-01  9.6638E-01
  Mo   42    0  1.6885E+00  3.2391E+00  2.0348E+00  2.1405E+00  1.1658E+00  1.1691E+00  1.1790E+00  1.1807E+00  1.1804E+00
  Xe   54    0  1.1135E+00  1.8059E+00  1.2606E+00  1.3083E+00  9.9665E-01  9.9545E-01  9.9178E-01  9.8856E-01  9.8963E-01
  Cs   55    0  1.0492E+00  1.5695E+00  1.1271E+00  1.1478E+00  9.8255E-01  9.7651E-01  9.5783E-01  9.4729E-01  9.5171E-01
  Ba   56    0  1.3837E+00  2.1996E+00  1.5890E+00  1.7084E+00  1.0050E+00  1.0069E+00  1.0126E+00  1.0226E+00  1.0189E+00
  La   57    0  1.2389E+00  1.7791E+00  1.4965E+00  1.5485E+00  1.0006E+00  1.0008E+00  1.0015E+00  1.0037E+00  1.0028E+00
  Ce   58    0  1.1162E+00  1.4022E+00  1.2621E+00  1.2743E+00  1.0003E+00  1.0005E+00  1.0009E+00  1.0020E+00  1.0016E+00
  Pr   59    0  1.0557E+00  1.5611E+00  1.9481E+00  1.1965E+00  9.9209E-01  9.8933E-01  9.8107E-01  9.7125E-01  9.7380E-01
  Nd   60    0  1.1072E+00  1.2511E+00  1.0930E+00  1.3587E+00  1.0005E+00  1.0007E+00  1.0012E+00  1.0009E+00  1.0010E+00
  Hg   80    0  1.1287E+00  1.2838E+00  1.1541E+00  1.1156E+00  1.0067E+00  1.0091E+00  1.0162E+00  1.0244E+00  1.0226E+00
  Tl   81    0  1.0152E+00  1.1415E+00  1.0192E+00  1.0657E+00  9.9745E-01  9.9657E-01  9.9394E-01  9.9476E-01  9.9409E-01
  Pb   82    0  1.0872E+00  1.2390E+00  1.1865E+00  1.2081E+00  1.0017E+00  1.0023E+00  1.0042E+00  1.0080E+00  1.0066E+00
  Bi   83    0  9.2148E-01  9.1521E-01  9.2050E-01  9.2365E-01  9.9950E-01  9.9935E-01  9.9886E-01  9.9753E-01  9.9785E-01
  ele   Z    A    013a300     015a300     020a300     025a300     030a300     040a300     060a300     080a300     120a300
  H     1    0  5.2303E-01  5.0042E-01  4.7684E-01  4.0169E-01  5.2507E-01  5.0577E-01  4.1139E-01  4.1241E-01  4.2395E-01
  He    2    0  1.4401E+00  1.3666E+00  1.3806E+00  1.5243E+00  2.1985E+00  2.2345E+00  2.5209E+00  2.5411E+00  2.5261E+00
  Li    3    0  2.9829E-04  5.2117E-04  1.1465E-03  1.9516E-03  2.8331E-03  3.5629E-03  2.6063E-03  2.3980E-03  9.8925E-04
  Be    4    0  4.3901E-04  7.5289E-04  1.6013E-03  2.6542E-03  4.4941E-03  5.7025E-03  4.0076E-03  3.7958E-03  1.7493E-03
  B     5    0  1.7028E-02  1.7186E-02  1.5605E-02  1.9111E-02  3.2199E-02  4.0642E-02  3.6423E-02  3.8322E-02  2.7553E-02
  C     6    0  2.0981E+01  1.7932E+01  2.5557E+01  2.8845E+01  8.7649E+00  1.0703E+01  8.3634E+00  6.0387E+00  4.3942E+00
  N     7    0  7.0042E+00  8.2991E+00  1.1239E+01  6.7516E+00  1.0048E+01  9.5798E+00  9.3931E+00  9.9630E+00  1.0547E+01
  O     8    0  2.4060E+01  2.6198E+01  3.0264E+01  3.0390E+01  9.0655E-01  8.7212E-01  5.1002E-01  3.8409E-01  2.8047E-01
  F     9    0  9.4741E+01  1.7316E+01  1.5105E+01  9.0928E-01  5.1766E-01  7.5637E-01  8.9535E-01  3.5788E-01  2.4933E-01
  Ne   10    0  8.6329E+00  9.4483E+00  9.1604E+00  1.9385E+01  1.4802E+00  1.7218E+00  1.7676E+00  1.5255E+00  1.3200E+00
  Na   11    0  7.9758E+00  7.1423E+00  9.0668E+00  1.7072E+01  4.9092E+00  5.1617E+00  5.8564E+00  6.0562E+00  6.2676E+00
  Mg   12    0  4.9521E+00  5.2563E+00  5.6720E+00  9.5638E+00  9.8751E-01  9.8563E-01  9.7416E-01  9.7352E-01  9.7465E-01
  Al   13    0  4.4806E+00  4.7098E+00  6.0991E+00  1.2571E+01  1.2498E+00  1.2972E+00  1.4783E+00  1.5141E+00  1.5576E+00
  Si   14    0  1.6271E+01  3.1596E+01  2.3000E+01  1.9762E+01  1.0003E+00  1.0003E+00  1.0005E+00  1.0005E+00  1.0005E+00
  P    15    0  1.1906E+01  2.2879E+01  3.5119E+01  2.3590E+01  1.0058E+00  1.0074E+00  1.0066E+00  1.0092E+00  1.0063E+00
  S    16    0  2.4695E+01  3.3804E+01  2.0782E+01  1.5546E+01  1.0000E+00  1.0000E+00  1.0001E+00  1.0000E+00  1.0000E+00
