  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
  Cl   17    0  7.9708E+00  1.1677E+01  8.4503E+00  5.4551E+00  1.0190E+00  1.0248E+00  1.0219E+00  1.0262E+00  1.0181E+00
  Ar   18    0  5.5393E+01  3.0205E+01  3.9266E+01  2.5892E+01  9.9757E-01  9.9682E-01  9.9729E-01  9.9666E-01  9.9767E-01
  K    19    0  2.0439E+01  2.6437E+01  8.2940E+00  5.2640E+00  1.0419E+00  1.0552E+00  1.0498E+00  1.0555E+00  1.0386E+00
  Ca   20    0  5.6931E+01  1.9098E+01  3.0977E+01  2.2557E+01  9.9818E-01  9.9761E-01  9.9793E-01  9.9764E-01  9.9835E-01
  Sc   21    0  2.5088E+01  3.0960E+01  1.5859E+01  1.3897E+01  1.0497E+00  1.0665E+00  1.0613E+00  1.0602E+00  1.0419E+00
  Ti   22    0  8.7399E+00  9.2018E+00  9.0848E+00  6.5111E+00  1.0008E+00  1.0011E+00  1.0010E+00  1.0013E+00  1.0009E+00
  V    23    0  1.3771E+01  4.1628E+01  1.8143E+01  8.9202E+00  1.0147E+00  1.0203E+00  1.0200E+00  1.0144E+00  1.0100E+00
  Cr   24    0  1.8440E+01  3.1179E+01  1.8245E+01  1.2883E+01  9.9966E-01  9.9960E-01  9.9966E-01  9.9963E-01  9.9973E-01
  Mn   25    0  1.8422E+01  6.0748E+01  1.7126E+01  9.3860E+00  1.0497E+00  1.0667E+00  1.0625E+00  1.0554E+00  1.0385E+00
  Fe   26    0  7.3162E+00  1.6693E+01  5.3832E+00  3.8372E+00  9.9957E-01  9.9945E-01  9.9962E-01  9.9952E-01  9.9967E-01
  Co   27    0  8.4302E+00  8.6116E+00  4.9857E+00  7.6997E+00  1.0782E+00  1.1051E+00  1.0976E+00  1.0944E+00  1.0655E+00
  Ni   28    0  5.7937E+00  2.5873E+01  4.5260E+00  3.4184E+00  9.9589E-01  9.9439E-01  9.9470E-01  9.9545E-01  9.9681E-01
  Cu   29    0  2.9461E+01  3.4828E+01  4.6623E+01  4.1898E+01  1.0525E+00  1.0681E+00  1.0598E+00  1.0788E+00  1.0541E+00
  Zn   30    0  1.4437E+01  2.2750E+01  3.2687E+01  2.3873E+01  9.9787E-01  9.9685E-01  9.9657E-01  9.9949E-01  9.9956E-01
  Ga   31    0  5.1527E+01  8.8474E+01  1.6339E+02  9.4257E+01  1.0225E+00  1.0295E+00  1.0267E+00  1.0313E+00  1.0216E+00
  Ge   32    0  3.3278E+01  6.1753E+01  9.1038E+01  5.3706E+01  1.0022E+00  1.0027E+00  1.0021E+00  1.0042E+00  1.0029E+00
  As   33    0  5.2417E+01  9.6814E+01  1.5668E+02  9.0773E+01  9.9479E-01  9.9261E-01  9.9225E-01  9.9479E-01  9.9642E-01
  Se   34    0  2.7951E+01  5.4069E+01  9.8001E+01  3.8541E+01  9.9938E-01  9.9921E-01  9.9944E-01  1.0002E+00  1.0002E+00
  Br   35    0  2.1529E+01  4.9077E+01  6.4135E+01  3.2587E+01  9.9250E-01  9.8917E-01  9.8860E-01  9.9054E-01  9.9345E-01
  Kr   36    0  1.8157E+01  5.4120E+01  7.6346E+01  2.3524E+01  1.0066E+00  1.0088E+00  1.0080E+00  1.0081E+00  1.0056E+00
  Rb   37    0  2.2622E+01  7.8146E+01  1.2291E+02  2.9089E+01  9.9441E-01  9.9249E-01  9.9316E-01  9.9300E-01  9.9512E-01
  Sr   38    0  2.2517E+01  9.2379E+01  1.1616E+02  2.6600E+01  1.0233E+00  1.0305E+00  1.0270E+00  1.0321E+00  1.0221E+00
  Y    39    0  1.5139E+01  6.7543E+01  8.3332E+01  1.4478E+01  1.0016E+00  1.0021E+00  1.0019E+00  1.0024E+00  1.0016E+00
  Zr   40    0  7.3652E+00  3.6869E+01  5.4996E+01  6.3023E+00  9.7062E-01  9.7061E-01  9.7055E-01  9.7101E-01  9.7086E-01
  Nb   41    0  4.5309E+00  2.4566E+01  2.0686E+01  3.8320E+00  9.7979E-01  9.7127E-01  9.7010E-01  9.7957E-01  9.8596E-01
  Mo   42    0  2.4228E+00  1.0022E+01  1.0682E+01  2.6679E+00  1.1706E+00  1.1763E+00  1.1769E+00  1.1707E+00  1.1663E+00
  Xe   54    0  1.4418E+00  5.2345E+00  4.4647E+00  1.4808E+00  9.9478E-01  9.9295E-01  9.9337E-01  9.9415E-01  9.9592E-01
  Cs   55    0  1.2928E+00  4.8328E+00  4.0414E+00  1.1973E+00  9.7371E-01  9.6309E-01  9.6233E-01  9.7108E-01  9.8008E-01
  Ba   56    0  1.9086E+00  5.6771E+00  5.0559E+00  1.9906E+00  1.0080E+00  1.0108E+00  1.0100E+00  1.0106E+00  1.0073E+00
  La   57    0  1.7457E+00  4.0977E+00  3.3108E+00  1.7518E+00  1.0010E+00  1.0013E+00  1.0011E+00  1.0015E+00  1.0010E+00
  Ce   58    0  1.3327E+00  2.3069E+00  2.0758E+00  1.3733E+00  1.0006E+00  1.0007E+00  1.0007E+00  1.0009E+00  1.0006E+00
  Pr   59    0  1.3824E+00  3.0313E+00  2.4796E+00  1.2668E+00  9.8766E-01  9.8340E-01  9.8441E-01  9.8496E-01  9.8959E-01
  Nd   60    0  1.1479E+00  1.5287E+00  1.6336E+00  1.4411E+00  1.0007E+00  1.0011E+00  1.0013E+00  1.0007E+00  1.0004E+00
  Hg   80    0  1.1144E+00  1.4432E+00  1.6329E+00  1.1653E+00  1.0106E+00  1.0141E+00  1.0132E+00  1.0128E+00  1.0089E+00
  Tl   81    0  1.0905E+00  1.2917E+00  1.2802E+00  1.1047E+00  9.9624E-01  9.9462E-01  9.9441E-01  9.9650E-01  9.9755E-01
  Pb   82    0  1.2055E+00  1.3534E+00  1.4067E+00  1.2753E+00  1.0027E+00  1.0036E+00  1.0033E+00  1.0037E+00  1.0025E+00
  Bi   83    0  9.1537E-01  9.1680E-01  8.8600E-01  9.1932E-01  9.9920E-01  9.9899E-01  9.9918E-01  9.9877E-01  9.9915E-01
  ele   Z    A    013b000     015b000     020b000     025b000     030b000     040b000     060b000     080b000     120b000
  H     1    0  7.2446E-01  6.9781E-01  6.3525E-01  6.0318E-01  9.9980E-01  9.4986E-01  8.8176E-01  7.7055E-01  6.1081E-01
  He    2    0  1.5939E+00  1.4253E+00  1.5117E+00  1.3755E+00  1.0001E+00  1.1495E+00  1.3530E+00  1.6855E+00  2.1420E+00
  Li    3    0  2.8298E-03  4.8980E-03  1.1059E-02  1.1261E-02  1.7612E-01  3.5959E-02  4.0419E-02  2.1278E-02  1.8085E-02
  Be    4    0  8.8134E-03  8.4010E-03  1.3657E-02  1.7094E-02  2.5944E-01  5.0309E-02  3.9143E-02  2.2416E-02  1.9162E-02
  B     5    0  1.5335E-01  1.4752E-01  1.3349E-01  1.2958E-01  8.9588E-01  3.9497E-01  3.2950E-01  1.8643E-01  1.5443E-01
  C     6    0  2.6445E+01  4.3971E+01  5.0087E+01  6.8803E+01  9.9992E-01  8.4495E-01  6.8640E-01  4.9981E-01  7.9390E+00
  N     7    0  9.6234E+00  8.7200E+00  8.5612E+00  8.0308E+00  9.9992E-01  5.5204E+00  1.0542E+01  1.7802E+01  2.1875E+01
  O     8    0  1.1937E+01  3.1567E+01  3.5748E+01  5.8693E+01  9.9992E-01  8.6905E-01  7.1948E-01  4.9086E-01  1.2309E+00
  F     9    0  6.6859E-01  6.3531E-01  6.9222E-01  2.2274E+00  9.9992E-01  8.6453E-01  6.8677E-01  4.7452E-01  3.4728E-01
  Ne   10    0  3.6796E+01  5.8071E+01  2.0751E+02  1.6752E+02  9.9993E-01  9.7826E-01  9.4968E-01  9.0348E-01  1.1009E+00
  Na   11    0  1.3350E+01  2.6114E+01  6.9795E+01  8.5168E+01  9.9992E-01  2.0256E+00  3.3790E+00  5.5689E+00  7.0081E+00
