 ele  Z   A   PFAv000     PFAv150     PFAv300     PFBv000     PFBv150     PFBv300     PFCv000     PFCv150     PFCv300     PFDv000     PFDv150     PFDv300      YAv000      YAv150      YAv300      YBv000      YBv150      YBv300      YCv000      YCv150      YCv300      YDv000      YDv150      YDv300     PFAvavg     PFBvavg     PFCvavg     PFDvavg      YAvavg      YBvavg      YCvavg      YDvavg       iniA        iniB        iniC        iniD 
  Ga   31    0  6.8495E+00  3.5067E+01  5.2981E+01  1.4659E+01  1.0205E+02  7.2247E+01  1.4325E+00  8.2025E+01  5.3370E+01  1.1279E+00  3.0151E+01  8.0087E+01  3.0760E-07  1.5487E-06  2.3674E-06  4.7601E-08  3.7199E-07  2.8020E-07  3.2232E-10  2.6870E-08  1.8384E-08  2.4283E-11  9.2754E-10  2.6458E-09  6.8510E+00  1.4664E+01  1.4387E+00  1.1301E+00  3.0766E-07  4.7618E-08  3.2373E-10  2.4331E-11  5.6340E-08  5.6333E-09  5.6333E-10  5.6333E-11
  Ge   32    0  4.1381E+00  2.1526E+01  3.1725E+01  9.9828E+00  7.5589E+01  6.6704E+01  1.2124E+00  7.0367E+01  5.1587E+01  1.0265E+00  2.3549E+01  7.2045E+01  7.8843E-07  4.0334E-06  6.0144E-06  1.3753E-07  1.1690E-06  1.0976E-06  1.1574E-09  9.7798E-08  7.5391E-08  9.3766E-11  3.0735E-09  1.0098E-08  4.1391E+00  9.9867E+00  1.2178E+00  1.0283E+00  7.8860E-07  1.3759E-07  1.1625E-09  9.3924E-11  2.3903E-07  2.3900E-08  2.3900E-09  2.3900E-10
  As   33    0  5.7088E+00  3.2614E+01  5.2554E+01  1.3351E+01  1.4301E+02  1.1561E+02  1.1564E+00  1.1406E+02  9.1526E+01  1.0365E+00  2.2428E+01  1.0593E+02  5.0127E-08  2.8164E-07  4.5916E-07  8.4775E-09  1.0193E-07  8.7672E-08  5.0877E-11  7.3061E-09  6.1647E-09  4.3634E-12  1.3491E-10  6.8426E-10  5.7102E+00  1.3359E+01  1.1651E+00  1.0381E+00  5.0139E-08  8.4824E-09  5.1263E-11  4.3703E-12  1.1016E-08  1.1015E-09  1.1015E-10  1.1015E-11
  Se   34    0  2.8903E+00  1.5702E+01  2.9762E+01  6.0940E+00  7.1658E+01  9.3084E+01  1.0438E+00  7.6783E+01  7.3003E+01  9.8964E-01  2.1360E+01  8.4745E+01  2.9327E-07  1.5670E-06  3.0049E-06  4.4715E-08  5.9024E-07  8.1573E-07  5.3070E-10  5.6836E-08  5.6821E-08  4.8144E-11  1.4848E-09  6.3262E-09  2.8909E+00  6.0979E+00  1.0497E+00  9.9118E-01  2.9334E-07  4.4744E-08  5.3370E-10  4.8220E-11  1.2730E-07  1.2729E-08  1.2729E-09  1.2729E-10
  Br   35    0  2.8396E+00  1.0869E+01  2.2494E+01  5.3595E+00  7.2298E+01  9.0497E+01  1.0149E+00  7.8234E+01  7.3845E+01  9.8157E-01  1.9884E+01  7.7023E+01  4.6212E-08  1.7395E-07  3.6425E-07  6.3067E-09  9.5504E-08  1.2719E-07  8.2752E-11  9.2872E-09  9.2178E-09  7.6580E-12  2.2167E-10  9.2210E-10  2.8400E+00  5.3635E+00  1.0209E+00  9.8300E-01  4.6219E-08  6.3114E-09  8.3242E-11  7.6694E-12  2.0417E-08  2.0414E-09  2.0414E-10  2.0414E-11
  Kr   36    0  1.8469E+00  9.4924E+00  2.3907E+01  3.0642E+00  6.0741E+01  1.2628E+02  1.0698E+00  8.1293E+01  1.2043E+02  1.0111E+00  2.7736E+01  1.0622E+02  1.6166E-07  8.1712E-07  2.0821E-06  1.9394E-08  4.3157E-07  9.5461E-07  4.6917E-10  5.1906E-08  8.0856E-08  4.2430E-11  1.6631E-09  6.8398E-09  1.8473E+00  3.0677E+00  1.0760E+00  1.0132E+00  1.6169E-07  1.9416E-08  4.7191E-10  4.2516E-11  1.0981E-07  1.0980E-08  1.0980E-09  1.0980E-10
  Rb   37    0  2.1277E+00  1.2811E+01  3.5600E+01  3.6443E+00  8.5739E+01  1.7907E+02  1.0468E+00  1.1979E+02  1.9451E+02  9.9568E-01  4.4764E+01  1.4003E+02  3.5383E-08  2.0951E-07  5.8907E-07  4.3820E-09  1.1573E-07  2.5717E-07  8.7217E-11  1.4531E-08  2.4811E-08  7.9379E-12  5.0994E-10  1.7130E-09  2.1283E+00  3.6492E+00  1.0560E+00  9.9901E-01  3.5392E-08  4.3880E-09  8.7985E-11  7.9646E-12  2.0863E-08  2.0860E-09  2.0860E-10  2.0860E-11
  Sr   38    0  1.7134E+00  1.1440E+01  3.6047E+01  3.4017E+00  1.3294E+02  8.0133E+02  1.3392E+00  2.8515E+02  1.1376E+03  1.1159E+00  3.0594E+01  7.2433E+02  6.5375E-08  4.2926E-07  1.3685E-06  9.3849E-09  4.1172E-07  2.6404E-06  2.5602E-10  7.9362E-08  3.3292E-07  2.0412E-11  7.9962E-10  2.0330E-08  1.7140E+00  3.4094E+00  1.3612E+00  1.1182E+00  6.5395E-08  9.4063E-09  2.6023E-10  2.0454E-11  4.7867E-08  4.7861E-09  4.7861E-10  4.7861E-11
  Y    39    0  1.4400E+00  7.1463E+00  2.5554E+01  2.4988E+00  8.4516E+01  9.2060E+02  1.1556E+00  2.5364E+02  1.4281E+03  1.0283E+00  2.5143E+01  9.0755E+02  1.2197E-08  5.9527E-08  2.1536E-07  1.5304E-09  5.8108E-08  6.7340E-07  4.9040E-11  1.5671E-08  9.2785E-08  4.1758E-12  1.4589E-10  5.6550E-09  1.4403E+00  2.5037E+00  1.1751E+00  1.0302E+00  1.2199E-08  1.5334E-09  4.9871E-11  4.1833E-12  1.0626E-08  1.0625E-09  1.0625E-10  1.0625E-11
  Zr   40    0  1.1869E+00  3.8804E+00  1.5507E+01  1.5827E+00  3.4795E+01  1.7856E+03  1.0185E+00  1.5777E+02  2.0992E+03  9.9215E-01  1.6666E+01  1.6498E+03  2.4180E-08  7.7748E-08  3.1436E-07  2.3314E-09  5.7539E-08  3.1414E-06  1.0397E-10  2.3446E-08  3.2803E-07  9.6900E-12  2.3259E-10  2.4725E-08  1.1870E+00  1.5846E+00  1.0307E+00  9.9335E-01  2.4183E-08  2.3343E-09  1.0521E-10  9.7019E-12  2.5559E-08  2.5555E-09  2.5555E-10  2.5555E-11
