isotope,a,z,yield,mass,metallicity,irv
Br81,81,35,2.0572e-07,15.0,0.0134,0.0
Kr78,78,36,1.0023e-08,15.0,0.0134,0.0
Kr80,80,36,7.8624e-08,15.0,0.0134,0.0
Kr82,82,36,2.4293e-07,15.0,0.0134,0.0
Kr83,83,36,2.1446e-07,15.0,0.0134,0.0
Kr84,84,36,9.5167e-07,15.0,0.0134,0.0
Kr86,86,36,3.7683e-07,15.0,0.0134,0.0
Rb85,85,37,2.5738e-07,15.0,0.0134,0.0
Rb87,87,37,1.7911e-07,15.0,0.0134,0.0
Sr84,84,38,1.0941e-08,15.0,0.0134,0.0
Sr86,86,38,1.206e-07,15.0,0.0134,0.0
Sr87,87,38,6.8218e-08,15.0,0.0134,0.0
Sr88,88,38,7.7086e-07,15.0,0.0134,0.0
Y89,89,39,1.8115e-07,15.0,0.0134,0.0
Zr90,90,40,1.9927e-07,15.0,0.0134,0.0
Zr91,91,40,4.3897e-08,15.0,0.0134,0.0
Zr92,92,40,6.518e-08,15.0,0.0134,0.0
Zr94,94,40,6.2553e-08,15.0,0.0134,0.0
Zr96,96,40,1.0051e-09,15.0,0.0134,0.0
Nb93,93,41,2.6655e-08,15.0,0.0134,0.0
Mo92,92,42,1.1358e-08,15.0,0.0134,0.0
Mo94,94,42,8.3495e-09,15.0,0.0134,0.0
Mo95,95,42,1.1496e-08,15.0,0.0134,0.0
Mo96,96,42,2.1409e-08,15.0,0.0134,0.0
Mo97,97,42,6.7722e-09,15.0,0.0134,0.0
Mo98,98,42,1.7744e-08,15.0,0.0134,0.0
Xe32,132,54,5.8051e-08,15.0,0.0134,0.0
Xe34,134,54,2.1504e-08,15.0,0.0134,0.0
Cs33,133,55,1.4716e-08,15.0,0.0134,0.0
Ba34,134,56,6.5782e-09,15.0,0.0134,0.0
Ba35,135,56,1.2219e-08,15.0,0.0134,0.0
Ba36,136,56,1.8389e-08,15.0,0.0134,0.0
Ba37,137,56,2.3207e-08,15.0,0.0134,0.0
Ba38,138,56,1.5437e-07,15.0,0.0134,0.0
La38,138,57,1.5278e-11,15.0,0.0134,0.0
La39,139,57,1.7887e-08,15.0,0.0134,0.0
Ce40,140,58,4.6092e-08,15.0,0.0134,0.0
Pr41,141,59,7.0072e-09,15.0,0.0134,0.0
Nd42,142,60,1.1193e-08,15.0,0.0134,0.0
Nd43,143,60,4.0312e-09,15.0,0.0134,0.0
Nd44,144,60,8.4889e-09,15.0,0.0134,0.0
Hg02,202,80,8.7604e-09,15.0,0.0134,0.0
Hg04,204,80,1.8727e-09,15.0,0.0134,0.0
Tl03,203,81,4.6558e-09,15.0,0.0134,0.0
Tl05,205,81,1.0965e-08,15.0,0.0134,0.0
Pb04,204,82,2.7647e-09,15.0,0.0134,0.0
Pb06,206,82,2.1696e-08,15.0,0.0134,0.0
Pb07,207,82,2.3417e-08,15.0,0.0134,0.0
Pb08,208,82,6.6779e-08,15.0,0.0134,0.0
Bi09,209,83,8.7967e-09,15.0,0.0134,0.0
H,1,1,8.5593,20.0,0.0134,0.0
H2,2,1,5.8878e-06,20.0,0.0134,0.0
He3,3,2,0.00046986,20.0,0.0134,0.0
He4,4,2,7.1652,20.0,0.0134,0.0
Li6,6,3,1.1972e-10,20.0,0.0134,0.0
Li7,7,3,1.7985e-09,20.0,0.0134,0.0
Be9,9,4,6.2224e-11,20.0,0.0134,0.0
B10,10,5,3.8508e-10,20.0,0.0134,0.0
B11,11,5,1.1279e-08,20.0,0.0134,0.0
C12,12,6,0.40941,20.0,0.0134,0.0
C13,13,6,0.0010411,20.0,0.0134,0.0
N14,14,7,0.043744,20.0,0.0134,0.0
N15,15,7,1.3543e-05,20.0,0.0134,0.0
O16,16,8,1.2501,20.0,0.0134,0.0
O17,17,8,4.6201e-05,20.0,0.0134,0.0
O18,18,8,0.0063062,20.0,0.0134,0.0
F19,19,9,5.4592e-06,20.0,0.0134,0.0
Ne20,20,10,0.38949,20.0,0.0134,0.0
Ne21,21,10,0.00031544,20.0,0.0134,0.0
Ne22,22,10,0.030064,20.0,0.0134,0.0
Na23,23,11,0.0065923,20.0,0.0134,0.0
Mg24,24,12,0.10846,20.0,0.0134,0.0
Mg25,25,12,0.011411,20.0,0.0134,0.0
Mg26,26,12,0.010638,20.0,0.0134,0.0
Al27,27,13,0.012025,20.0,0.0134,0.0
Si28,28,14,0.1374,20.0,0.0134,0.0
Si29,29,14,0.0054529,20.0,0.0134,0.0
Si30,30,14,0.0069353,20.0,0.0134,0.0
P31,31,15,0.0012662,20.0,0.0134,0.0
S32,32,16,0.043996,20.0,0.0134,0.0
S33,33,16,0.00047086,20.0,0.0134,0.0
S34,34,16,0.0031532,20.0,0.0134,0.0
S36,36,16,4.4246e-06,20.0,0.0134,0.0
Cl35,35,17,0.00028802,20.0,0.0134,0.0
Cl37,37,17,9.7999e-05,20.0,0.0134,0.0
Ar36,36,18,0.0072309,20.0,0.0134,0.0
Ar38,38,18,0.0012307,20.0,0.0134,0.0
Ar40,40,18,1.1414e-06,20.0,0.0134,0.0
K39,39,19,0.00012638,20.0,0.0134,0.0
K40,40,19,1.3951e-06,20.0,0.0134,0.0
K41,41,19,1.643e-05,20.0,0.0134,0.0
Ca40,40,20,0.006379,20.0,0.0134,0.0
Ca42,42,20,5.11e-05,20.0,0.0134,0.0
Ca43,43,20,7.4183e-06,20.0,0.0134,0.0
Ca44,44,20,6.5039e-05,20.0,0.0134,0.0
Ca46,46,20,3.1728e-07,20.0,0.0134,0.0
Ca48,48,20,2.5181e-06,20.0,0.0134,0.0
Sc45,45,21,4.5391e-06,20.0,0.0134,0.0
Ti46,46,22,2.3932e-05,20.0,0.0134,0.0
Ti47,47,22,6.9618e-06,20.0,0.0134,0.0
Ti48,48,22,0.00012188,20.0,0.0134,0.0
Ti49,49,22,1.0693e-05,20.0,0.0134,0.0
