  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
  Co   27    0  3.9869E+00  4.5666E+02  7.8475E+00  7.2184E+00  9.6207E+00  8.8839E+00  6.5662E+00  5.7953E+00  4.3542E+00
  Ni   28    0  4.0210E+00  1.3328E+03  4.1955E+00  3.3616E+00  3.6950E+00  3.2549E+00  3.0975E+00  2.9977E+00  2.4735E+00
  Cu   29    0  2.0597E+01  1.3059E+02  3.4501E+01  3.4980E+01  5.0917E+01  5.6008E+01  5.5280E+01  5.1467E+01  3.8919E+01
  Zn   30    0  1.1569E+01  9.2796E+02  1.9132E+01  1.9345E+01  2.6945E+01  2.9248E+01  3.3122E+01  3.5168E+01  2.6010E+01
  Ga   31    0  3.6622E+01  9.0932E+01  6.4678E+01  6.9314E+01  1.0638E+02  1.1763E+02  1.3739E+02  1.5268E+02  1.1101E+02
  Ge   32    0  1.8968E+01  5.9636E+01  3.9323E+01  3.8326E+01  6.5258E+01  8.0189E+01  9.5513E+01  1.0205E+02  6.7591E+01
  As   33    0  2.6692E+01  9.2681E+01  5.4644E+01  6.4939E+01  1.0065E+02  1.3772E+02  1.7600E+02  1.9321E+02  1.3458E+02
  Se   34    0  1.2976E+01  4.3867E+01  2.9607E+01  2.5490E+01  4.8511E+01  6.7618E+01  8.6605E+01  8.4153E+01  5.4919E+01
  Br   35    0  9.1308E+00  2.8173E+01  1.9230E+01  2.0649E+01  4.7330E+01  6.5223E+01  7.5345E+01  6.2545E+01  3.9619E+01
  Kr   36    0  8.0662E+00  2.8773E+01  1.5114E+01  1.4772E+01  2.7198E+01  3.8844E+01  6.0296E+01  5.6626E+01  4.0251E+01
  Rb   37    0  9.0292E+00  4.1930E+01  2.0136E+01  1.8861E+01  3.4661E+01  5.9230E+01  9.7245E+01  8.7759E+01  6.1257E+01
  Sr   38    0  1.0352E+01  4.1405E+01  1.3660E+01  1.6574E+01  2.6973E+01  3.3320E+01  5.8341E+01  7.5913E+01  5.0517E+01
  Y    39    0  6.1753E+00  2.4532E+01  9.6203E+00  9.0897E+00  1.5562E+01  2.0825E+01  3.3682E+01  3.8039E+01  2.4495E+01
  Zr   40    0  3.5155E+00  1.1684E+01  5.8132E+00  4.2427E+00  6.8438E+00  9.5188E+00  1.4701E+01  1.5255E+01  1.1504E+01
  Nb   41    0  1.8889E+00  5.4182E+00  3.0593E+00  2.6329E+00  4.7919E+00  6.1594E+00  8.7439E+00  7.8094E+00  5.0212E+00
  Mo   42    0  1.6609E+00  2.9102E+00  1.9887E+00  2.1106E+00  2.6690E+00  3.1085E+00  4.3040E+00  4.0025E+00  3.2190E+00
